lengthMiddleSegment: 60080.82
step_energy: 0.05
electrostatic_force_factor: 1.0
spring_force_factor: 0.1
reject_force_factor: 2.0
distanceRejectRadius: 15020.205
distanceSamePosition: 15020.205
Iteration;time;energy;num nodes;reject force is enabled;spring force is enabled;electrostatic force is enabled;str_force;rep_force;elec_force
1;0;47,81;1283;false;true;true;17,98;0;29,99
2;0,04;54,86;1235;false;true;true;20,89;0;35,55
3;0,11;50,93;1190;false;true;true;20,28;0;33,04
4;0,12;48,74;1141;false;true;true;19,76;0;31,25
5;0,13;47,17;1100;false;true;true;20,1;0;29,4
6;0,13;45,39;1069;false;true;true;19,22;0;29,36
7;0,15;43,69;1031;false;true;true;20,56;0;27,33
8;0,16;42,01;1004;false;true;true;19,12;0;26,65
9;0,17;40,52;979;false;true;true;18,85;0;24,83
10;0,18;40,27;958;false;true;true;17,89;0;25,22
11;0,18;39,56;934;false;true;true;19,15;0;23,8
12;0,19;37,94;914;false;true;true;18,43;0;23,78
13;0,19;38,23;894;false;true;true;19,38;0;23,15
14;0,2;36,42;876;false;true;true;18,97;0;22,76
15;0,2;35,21;854;false;true;true;19,16;0;20,33
16;0,21;34,18;841;false;true;true;18,37;0;20,98
17;0,22;34,49;828;false;true;true;18,75;0;22,64
18;0,23;32,9;810;false;true;true;19,42;0;19,08
19;0,23;33,13;801;false;true;true;18,76;0;21,17
20;0,24;33,17;787;false;true;true;19,02;0;20,98
21;0,25;32,41;775;false;true;true;19,44;0;20,17
22;0,26;30,76;761;false;true;true;18,19;0;16,79
23;0,28;30,07;754;false;true;true;17,32;0;17,87
24;0,28;28,63;741;false;true;true;17,27;0;14,6
25;0,29;28,77;737;false;true;true;16,71;0;16,86
26;0,29;28,09;731;false;true;true;17,36;0;17,71
27;0,3;27,92;721;false;true;true;18,66;0;16,72
28;0,3;28,7;715;false;true;true;18,5;0;17,9
29;0,31;28,61;707;false;true;true;18,34;0;17,75
30;0,31;28,05;694;false;true;true;18,42;0;14,69
31;0,31;27,97;689;false;true;true;17,21;0;16,22
32;0,32;27,75;680;false;true;true;17,35;0;15,88
33;0,32;27,35;672;false;true;true;17,76;0;15,93
34;0,33;26,79;666;false;true;true;17,26;0;16,69
35;0,33;25,15;656;false;true;true;17,12;0;13,81
36;0,34;24,99;653;false;true;true;17,32;0;15,71
37;0,34;25,35;646;false;true;true;17,34;0;15,14
38;0,34;24,79;640;false;true;true;17,34;0;14,98
39;0,35;23,52;634;false;true;true;17,31;0;13,64
40;0,35;23,85;631;false;true;true;17,04;0;14,73
41;0,35;23,32;626;false;true;true;16,75;0;14,35
42;0,36;22,69;621;false;true;true;16,72;0;13,35
43;0,36;22,5;617;false;true;true;16,99;0;13,51
44;0,36;21,72;611;false;true;true;16,73;0;12,4
45;0,37;21,62;609;false;true;true;16,68;0;13,87
46;0,37;21,81;606;false;true;true;17,33;0;14,71
47;0,37;21,18;599;false;true;true;17,27;0;12,53
48;0,38;21,19;596;false;true;true;16,83;0;12,89
49;0,38;21;593;false;true;true;16,46;0;13,07
50;0,38;20,13;589;false;true;true;16,72;0;12,71
51;0,39;19,79;585;false;true;true;16,24;0;11,82
52;0,39;20,19;581;false;true;true;15,98;0;11,61
53;0,4;20,34;578;false;true;true;16,08;0;12,06
54;0,4;20,06;573;false;true;true;15,3;0;10,72
55;0,4;19,55;570;false;true;true;14,49;0;10,19
56;0,41;19,09;568;false;true;true;14,7;0;10,82
57;0,41;19,13;566;false;true;true;14,83;0;11,05
58;0,41;19,46;563;false;true;true;15,6;0;11,41
59;0,42;18,91;559;false;true;true;15,64;0;10,45
60;0,42;18,75;557;false;true;true;15,24;0;11,01
61;0,42;18,24;553;false;true;true;14,5;0;9,91
62;0,43;18,07;551;false;true;true;14,75;0;10,14
63;0,43;16,99;548;false;true;true;14,7;0;9,04
64;0,43;16,91;547;false;true;true;15,03;0;9,72
65;0,44;17,61;546;false;true;true;15,63;0;10,95
66;0,44;17,14;541;false;true;true;15,03;0;8,82
67;0,45;16,14;539;false;true;true;14,59;0;8,31
68;0,45;16,16;538;false;true;true;14,28;0;8,94
69;0,46;15,96;536;false;true;true;14,15;0;8,74
70;0,46;16,11;533;false;true;true;14,19;0;7,93
71;0,47;15,75;532;false;true;true;14,08;0;8,48
72;0,47;15,39;530;false;true;true;13,79;0;8,42
73;0,47;15,13;529;false;true;true;13,63;0;8,59
74;0,48;15,12;528;false;true;true;14,05;0;8,87
75;0,48;14,97;527;false;true;true;14,28;0;9,17
76;0,49;14,89;525;false;true;true;14,58;0;9,01
77;0,49;15,27;525;false;true;true;15,01;0;10,45
78;0,49;15,2;522;false;true;true;14,79;0;9,52
79;0,5;15,28;520;false;true;true;14,6;0;9,39
80;0,5;15,68;519;false;true;true;14,63;0;10,14
81;0,5;16,03;515;false;true;true;14,32;0;8,89
82;0,51;15,35;512;false;true;true;13,79;0;7,99
83;0,51;15,26;511;false;true;true;13,24;0;8,39
84;0,51;14,9;509;false;true;true;12,98;0;8,05
85;0,52;15,03;509;false;true;true;13,41;0;9,28
86;0,52;15,14;507;false;true;true;13,72;0;9,1
87;0,52;14,6;503;false;true;true;13,54;0;7,43
88;0,53;14,35;503;false;true;true;13,46;0;8,33
89;0,53;14,06;502;false;true;true;13,19;0;8,33
90;0,53;14,18;502;false;true;true;13,61;0;9,39
91;0,54;14,37;501;false;true;true;14,25;0;9,95
92;0,54;14,38;499;false;true;true;14,59;0;9,71
93;0,55;14,65;498;false;true;true;14,96;0;10,51
94;0,55;14,52;494;false;true;true;14,17;0;8,61
95;0,55;14,65;493;false;true;true;14;0;9,05
96;0,55;14,82;492;false;true;true;13,83;0;9,46
97;0,55;14,67;489;false;true;true;13,66;0;8,36
98;0,56;14,45;488;false;true;true;13,66;0;8,8
99;0,56;14,16;486;false;true;true;13,46;0;8,39
100;0,56;14,21;485;false;true;true;13,32;0;8,76
101;0,56;14,29;484;false;true;true;13,42;0;9,13
102;0,57;13,8;481;false;true;true;13,21;0;7,85
103;0,57;13,69;481;false;true;true;13,41;0;8,72
104;0,57;13,71;480;false;true;true;13,48;0;9,03
105;0,57;14,15;479;false;true;true;13,75;0;9,61
106;0,57;14,23;477;false;true;true;13,96;0;9,51
107;0,58;14,04;475;false;true;true;13,86;0;9,09
108;0,58;14,62;473;false;true;true;13,41;0;8,95
109;0,58;14,41;469;false;true;true;12,68;0;7,22
110;0,59;13,76;468;false;true;true;12,51;0;7,36
