lengthMiddleSegment: 17148.06875
step_energy: 0.05
electrostatic_force_factor: 1.0
spring_force_factor: 0.1
reject_force_factor: 2.0
distanceRejectRadius: 4287.0171875
distanceSamePosition: 4287.0171875
Iteration;time;energy;num nodes;reject force is enabled;spring force is enabled;electrostatic force is enabled;str_force;rep_force;elec_force
1;0;13,38;261;false;true;true;5,95;0;7,58
2;0,04;15,55;246;false;true;true;6,02;0;10,17
3;0,08;12,54;232;false;true;true;5,96;0;7,67
4;0,09;10,35;216;false;true;true;4,46;0;7,11
5;0,09;9,71;203;false;true;true;4,6;0;6,42
6;0,09;9,68;194;false;true;true;4,28;0;6,17
7;0,1;9,28;187;false;true;true;4,02;0;6,36
8;0,1;8,93;178;false;true;true;4,02;0;6,38
9;0,1;8,74;169;false;true;true;4,2;0;6,13
10;0,11;7,93;163;false;true;true;4,15;0;5,55
11;0,11;7,82;154;false;true;true;4,1;0;5,7
12;0,11;7,49;147;false;true;true;3,96;0;5,93
13;0,11;6,41;141;false;true;true;3,43;0;4,7
14;0,11;4,55;136;false;true;true;2,96;0;3,04
15;0,11;4,21;134;false;true;true;2,77;0;3,03
16;0,12;4,01;132;false;true;true;2,71;0;3,05
17;0,12;3,11;130;false;true;true;2,5;0;2,64
18;0,12;3,12;129;false;true;true;2,63;0;2,9
19;0,12;3,27;127;false;true;true;2,36;0;2,31
20;0,12;3;125;false;true;true;2,29;0;1,77
21;0,12;1,89;124;false;true;true;1,88;0;1,18
22;0,12;1,72;124;false;true;true;1,8;0;1,24
23;0,12;1,62;124;false;true;true;1,79;0;1,29
24;0,12;1,57;124;false;true;true;1,86;0;1,35
25;0,13;1,53;124;false;true;true;1,96;0;1,42
26;0,13;1,52;124;false;true;true;2,06;0;1,5
27;0,13;1,54;124;false;true;true;2,16;0;1,6
28;0,13;1,61;124;false;true;true;2,26;0;1,75
29;0,13;1,8;124;false;true;true;2,38;0;2,03
30;0,13;1,69;123;false;true;true;2,2;0;1,43
31;0,13;1,65;123;false;true;true;2,16;0;1,53
32;0,13;1,67;123;false;true;true;2,21;0;1,67
33;0,14;1,76;123;false;true;true;2,28;0;1,86
34;0,14;1,98;123;false;true;true;2,4;0;2,2
35;0,14;1,98;121;false;true;true;2,13;0;1,09
36;0,14;1,78;121;false;true;true;1,87;0;1,16
37;0,14;1,69;121;false;true;true;1,76;0;1,24
38;0,14;1,65;121;false;true;true;1,76;0;1,33
39;0,14;1,65;121;false;true;true;1,84;0;1,46
40;0,14;1,74;121;false;true;true;1,96;0;1,66
41;0,14;1,62;120;false;true;true;1,98;0;1,19
42;0,14;1,54;120;false;true;true;1,9;0;1,25
43;0,14;1,49;120;false;true;true;1,87;0;1,32
44;0,15;1,47;120;false;true;true;1,88;0;1,39
45;0,15;1,48;120;false;true;true;1,94;0;1,49
46;0,15;1,53;120;false;true;true;2,03;0;1,63
47;0,15;1,67;120;false;true;true;2,15;0;1,87
48;0,15;1,52;119;false;true;true;2,1;0;1,32
