lengthMiddleSegment: 9575.605
step_energy: 0.05
electrostatic_force_factor: 1.0
spring_force_factor: 0.1
reject_force_factor: 2.0
distanceRejectRadius: 2393.90125
distanceSamePosition: 2393.90125
Iteration;time;energy;num nodes;reject force is enabled;spring force is enabled;electrostatic force is enabled;str_force;rep_force;elec_force
1;0;12,8;388;false;true;true;5,38;0;7,77
2;0,03;13,54;373;false;true;true;5,16;0;9,24
3;0,08;13,24;361;false;true;true;4,94;0;9,39
4;0,09;12,2;348;false;true;true;4,67;0;8,85
5;0,09;11,63;334;false;true;true;4,93;0;8,29
6;0,1;11,9;323;false;true;true;4,88;0;8,72
7;0,1;10,48;311;false;true;true;4,61;0;7,77
8;0,1;9,42;299;false;true;true;4,52;0;6,75
9;0,1;9,39;287;false;true;true;3,85;0;7,27
10;0,11;9,2;281;false;true;true;3,99;0;7,3
11;0,11;8,78;273;false;true;true;3,67;0;7,16
12;0,11;8,6;265;false;true;true;4,12;0;6,73
13;0,11;8,34;259;false;true;true;3,87;0;6,64
14;0,11;7,72;251;false;true;true;3,91;0;6,23
15;0,12;8,08;244;false;true;true;3,66;0;6,69
16;0,12;7,79;236;false;true;true;3,58;0;5,73
17;0,12;7,83;228;false;true;true;3,58;0;5,84
18;0,12;7,58;219;false;true;true;3,68;0;5,2
19;0,12;7,29;213;false;true;true;3,67;0;5,34
20;0,13;7,04;206;false;true;true;3,47;0;5,08
21;0,13;6,74;199;false;true;true;3,48;0;4,64
22;0,13;6,67;193;false;true;true;3,44;0;4,78
23;0,13;6,66;186;false;true;true;3,44;0;4,98
24;0,14;6,76;180;false;true;true;3,59;0;5,38
25;0,14;5,65;172;false;true;true;3,28;0;3,8
26;0,14;3,95;166;false;true;true;2,9;0;2,46
27;0,14;3,91;164;false;true;true;2,87;0;2,49
28;0,14;4,16;164;false;true;true;2,28;0;3,48
29;0,14;3,84;162;false;true;true;2,79;0;2,98
30;0,15;3,83;160;false;true;true;2,89;0;2,72
31;0,15;3,7;159;false;true;true;2,8;0;2,78
32;0,15;3,76;157;false;true;true;2,9;0;2,41
33;0,15;3,56;156;false;true;true;2,64;0;2,38
34;0,15;3,48;155;false;true;true;2,61;0;2,43
35;0,15;3,38;154;false;true;true;2,46;0;2,42
36;0,15;3,36;153;false;true;true;2,54;0;2,47
37;0,16;3,31;152;false;true;true;2,52;0;2,49
38;0,16;3,33;151;false;true;true;2,64;0;2,56
39;0,16;3,35;150;false;true;true;2,65;0;2,65
40;0,16;3,54;149;false;true;true;2,8;0;2,89
41;0,16;3,3;147;false;true;true;2,61;0;2,18
42;0,16;3,2;146;false;true;true;2,54;0;2,19
43;0,16;3,11;145;false;true;true;2,41;0;2,21
44;0,16;3,07;144;false;true;true;2,4;0;2,21
45;0,16;3,02;143;false;true;true;2,39;0;2,25
46;0,17;3,01;142;false;true;true;2,48;0;2,26
47;0,17;3;141;false;true;true;2,5;0;2,33
48;0,17;3,02;140;false;true;true;2,61;0;2,36
49;0,17;3,1;139;false;true;true;2,65;0;2,53
50;0,17;3,13;137;false;true;true;2,71;0;1,95
51;0,17;3,04;137;false;true;true;2,5;0;2,51
52;0,17;2,94;135;false;true;true;2,65;0;1,83
53;0,17;2,73;135;false;true;true;2,23;0;2,22
54;0,17;2,99;134;false;true;true;2,75;0;2,13
55;0,17;2,62;133;false;true;true;2,21;0;2,12
56;0,18;2,79;132;false;true;true;2,57;0;2,09
57;0,18;2,57;132;false;true;true;2,02;0;2,57
58;0,18;1,8;131;false;true;true;2,22;0;2,11
59;0,18;1,39;130;false;true;true;2,06;0;1,41
60;0,18;1,39;130;false;true;true;2,01;0;1,59
61;0,18;1,32;129;false;true;true;1,88;0;0,98
62;0,18;1,18;129;false;true;true;1,72;0;1,01
63;0,18;1,1;129;false;true;true;1,62;0;1,03
64;0,18;1,04;129;false;true;true;1,56;0;1,06
65;0,19;1,01;129;false;true;true;1,54;0;1,09
66;0,19;0,98;129;false;true;true;1,56;0;1,12
67;0,19;0,97;129;false;true;true;1,6;0;1,15
68;0,19;0,96;129;false;true;true;1,63;0;1,19
69;0,19;0,97;129;false;true;true;1,67;0;1,23
70;0,19;0,98;129;false;true;true;1,71;0;1,29
71;0,19;1,02;129;false;true;true;1,76;0;1,36
72;0,19;1,09;129;false;true;true;1,82;0;1,48
73;0,19;1,27;129;false;true;true;1,91;0;1,72
74;0,19;1,13;128;false;true;true;1,71;0;0,99
75;0,19;1,03;128;false;true;true;1,6;0;1,01
76;0,2;0,98;128;false;true;true;1,53;0;1,03
77;0,2;0,94;128;false;true;true;1,49;0;1,06
