lengthMiddleSegment: 85597.07
step_energy: 0.05
electrostatic_force_factor: 1.0
spring_force_factor: 0.1
reject_force_factor: 2.0
distanceRejectRadius: 21399.2675
distanceSamePosition: 21399.2675
Iteration;time;energy;num nodes;reject force is enabled;spring force is enabled;electrostatic force is enabled;str_force;rep_force;elec_force
1;0;52,39;1580;false;true;true;20,04;0;32,47
2;0,05;62,25;1524;false;true;true;23,59;0;40,1
3;0,14;58,85;1462;false;true;true;21,76;0;38,94
4;0,16;58,07;1403;false;true;true;21,63;0;38,52
5;0,17;55,43;1348;false;true;true;21,49;0;35,57
6;0,18;54,23;1302;false;true;true;20,07;0;36,17
7;0,19;51,87;1254;false;true;true;19,88;0;33,69
8;0,2;50,89;1212;false;true;true;20,56;0;33,12
9;0,21;50,58;1162;false;true;true;20,88;0;32,51
10;0,22;49,69;1121;false;true;true;20,13;0;31,56
11;0,23;49,02;1083;false;true;true;19,76;0;32,03
12;0,24;45,8;1045;false;true;true;19,68;0;28,48
13;0,25;46,88;1017;false;true;true;19,33;0;31,58
14;0,25;45,29;978;false;true;true;19,47;0;28,29
15;0,26;43,43;952;false;true;true;18,6;0;27,73
16;0,27;42;923;false;true;true;18,55;0;26,17
17;0,28;41,47;899;false;true;true;18,21;0;26,05
18;0,28;41,16;872;false;true;true;18,6;0;26,36
19;0,29;41,93;850;false;true;true;19,05;0;27,48
20;0,3;39,84;820;false;true;true;19,31;0;24,52
21;0,31;38,99;799;false;true;true;18,04;0;24,77
22;0,31;38,11;777;false;true;true;18,15;0;24,92
23;0,32;35,45;755;false;true;true;18,39;0;21,58
24;0,32;33,86;736;false;true;true;17,43;0;20,91
25;0,33;34,21;722;false;true;true;16,52;0;21,92
26;0,34;31,89;704;false;true;true;16,76;0;19,9
27;0,34;30,66;690;false;true;true;15,71;0;19,06
28;0,35;27,06;675;false;true;true;15,06;0;15,22
29;0,35;25,99;666;false;true;true;14,8;0;14,8
30;0,36;24,71;657;false;true;true;14,38;0;14,13
31;0,36;24,1;649;false;true;true;14,03;0;13,73
32;0,36;24,07;644;false;true;true;13,92;0;15,18
33;0,37;23,35;636;false;true;true;13,87;0;14,29
34;0,37;22,15;629;false;true;true;13,9;0;13,74
