lengthMiddleSegment: 104032.77
step_energy: 0.05
electrostatic_force_factor: 1.0
spring_force_factor: 0.1
reject_force_factor: 2.0
distanceRejectRadius: 26008.1925
distanceSamePosition: 26008.1925
Iteration;time;energy;num nodes;reject force is enabled;spring force is enabled;electrostatic force is enabled;str_force;rep_force;elec_force
1;0;48,11;778;false;true;true;20,72;0;27,78
2;0,02;53,91;739;false;true;true;22,89;0;33,4
3;0,08;52,02;701;false;true;true;23,2;0;31,08
4;0,09;47,6;664;false;true;true;22,04;0;28,96
5;0,09;43,39;633;false;true;true;21,95;0;25,34
6;0,09;42,33;608;false;true;true;19,69;0;26,66
7;0,1;39,46;579;false;true;true;19,08;0;24,25
8;0,1;37,82;555;false;true;true;17,86;0;24,41
9;0,11;33,81;528;false;true;true;18,31;0;19,65
10;0,11;32,51;517;false;true;true;16,99;0;21,16
11;0,12;31,11;502;false;true;true;16,49;0;20,14
12;0,12;27,03;486;false;true;true;16,52;0;15,12
13;0,12;26,3;476;false;true;true;14,97;0;15,48
14;0,12;25,15;469;false;true;true;15,41;0;15,82
15;0,13;24,85;462;false;true;true;15,65;0;15,7
16;0,13;22,38;452;false;true;true;15,82;0;12,5
17;0,13;22,55;448;false;true;true;14,34;0;13,08
18;0,14;22,14;443;false;true;true;14,52;0;13,51
19;0,14;21,23;438;false;true;true;14,48;0;12,9
20;0,14;21,65;435;false;true;true;15,05;0;14,18
21;0,14;21,25;429;false;true;true;14,69;0;13,18
22;0,15;20,31;421;false;true;true;14,06;0;11,55
23;0,15;20,15;418;false;true;true;13,49;0;12,64
24;0,15;19,93;413;false;true;true;13,9;0;12,61
25;0,15;19,78;405;false;true;true;13,95;0;10,99
26;0,16;19,2;402;false;true;true;13,68;0;11,81
27;0,16;18,94;398;false;true;true;13,5;0;12,03
28;0,16;18,57;394;false;true;true;13,87;0;12
29;0,16;17,56;390;false;true;true;13,85;0;11,58
30;0,16;18,01;387;false;true;true;13,38;0;11,85
31;0,17;18,05;384;false;true;true;13,63;0;12,25
32;0,17;17,31;380;false;true;true;13,71;0;11,56
33;0,17;16,38;376;false;true;true;13,86;0;10,59
34;0,17;16,71;375;false;true;true;13,72;0;11,83
35;0,17;16,5;371;false;true;true;13,95;0;11,19
36;0,18;17,32;369;false;true;true;14,16;0;12,38
37;0,18;16,81;363;false;true;true;13,91;0;10,36
38;0,18;16,85;360;false;true;true;12,78;0;10,1
39;0,19;16,28;356;false;true;true;12,53;0;9,33
40;0,19;15,88;354;false;true;true;12,09;0;9,54
41;0,19;15,27;351;false;true;true;12,32;0;9,35
42;0,19;15,2;350;false;true;true;12,23;0;10,07
43;0,19;15,27;348;false;true;true;12,46;0;10,34
44;0,19;14,7;346;false;true;true;12,78;0;10,24
45;0,2;15,28;346;false;true;true;13,3;0;12,16
46;0,2;14,87;342;false;true;true;13,56;0;11,2
47;0,2;14,47;339;false;true;true;13,54;0;10,51
48;0,2;14,45;338;false;true;true;13,33;0;11,17
49;0,2;14,94;335;false;true;true;12,5;0;10,46
50;0,21;14,37;333;false;true;true;12,79;0;10,53
51;0,21;14,15;328;false;true;true;12,77;0;8,61
52;0,21;13,54;327;false;true;true;12,31;0;8,99
53;0,21;13,75;326;false;true;true;12,13;0;9,74
54;0,22;12,9;323;false;true;true;11,36;0;8,42
55;0,22;12,78;323;false;true;true;11,65;0;9,56
56;0,22;12,94;320;false;true;true;11,8;0;8,74
57;0,22;12,49;319;false;true;true;11,66;0;9,22
58;0,22;12,37;317;false;true;true;11,76;0;9,14
59;0,22;12,41;315;false;true;true;11,46;0;8,73
60;0,23;12,29;314;false;true;true;11,41;0;9,06
61;0,23;12,61;312;false;true;true;11,89;0;9,07
62;0,23;12,42;310;false;true;true;12,02;0;9,04
63;0,23;12,07;307;false;true;true;11,41;0;7,99
64;0,23;11,63;306;false;true;true;10,95;0;8,31
65;0,24;11,01;304;false;true;true;10,58;0;7,57
66;0,24;10,67;304;false;true;true;10,58;0;8,26
67;0,24;10,7;304;false;true;true;11,12;0;9,16
68;0,24;11,16;302;false;true;true;11,54;0;8,91
69;0,25;10,89;301;false;true;true;11,67;0;9,09
70;0,25;10,37;299;false;true;true;11,44;0;8,36
71;0,25;10,2;298;false;true;true;11,37;0;8,51
72;0,25;10,21;296;false;true;true;11,19;0;7,92
73;0,25;9,74;294;false;true;true;10,72;0;6,98
74;0,25;9,42;294;false;true;true;10,62;0;7,5
75;0,26;9,4;294;false;true;true;10,76;0;8,2
76;0,26;9,4;293;false;true;true;10,73;0;8,16
77;0,26;9,49;292;false;true;true;11,09;0;8,31
78;0,26;9,44;290;false;true;true;11,04;0;7,69
79;0,26;9;288;false;true;true;10,43;0;6,84
80;0,26;8,56;288;false;true;true;10,08;0;7,24
81;0,27;8,34;288;false;true;true;10,1;0;7,7
82;0,27;8,3;288;false;true;true;10,48;0;8,27
83;0,27;8,52;288;false;true;true;11,04;0;9,06
84;0,27;8,9;286;false;true;true;11,06;0;8,45
85;0,27;9,13;285;false;true;true;11,1;0;8,73
86;0,28;8,75;283;false;true;true;10,78;0;7,93
87;0,28;8,34;282;false;true;true;10,43;0;7,84
88;0,28;8,03;281;false;true;true;9,84;0;7,52
89;0,28;7,86;280;false;true;true;9,8;0;7,28
90;0,28;7,56;280;false;true;true;9,86;0;7,7
91;0,28;7,43;280;false;true;true;10,13;0;8,19
92;0,29;7,5;280;false;true;true;10,55;0;8,84
93;0,29;8,23;278;false;true;true;10,42;0;8,29
94;0,29;8,34;277;false;true;true;10,08;0;8,21
95;0,29;8,35;274;false;true;true;9,87;0;6,82
96;0,29;7,97;274;false;true;true;9,6;0;7,37
97;0,29;7,73;272;false;true;true;9,45;0;6,7
98;0,3;7,3;272;false;true;true;9,19;0;7,07
99;0,3;7,1;272;false;true;true;9,3;0;7,5
100;0,3;7,1;272;false;true;true;9,64;0;8,06
101;0,3;7,27;271;false;true;true;9,76;0;8,01
102;0,3;7,41;270;false;true;true;9,87;0;7,91
103;0,31;6,78;268;false;true;true;9,29;0;6,6
104;0,31;6,79;268;false;true;true;9,35;0;7,14
105;0,31;6,87;266;false;true;true;9,11;0;6,09
106;0,31;6,51;266;false;true;true;8,93;0;6,43
107;0,31;6,42;266;false;true;true;8,94;0;6,89
108;0,32;6,7;266;false;true;true;9,23;0;7,66
109;0,32;6,4;264;false;true;true;9,12;0;6,66
110;0,32;6,22;263;false;true;true;8,66;0;6,21
111;0,32;5,76;262;false;true;true;8,01;0;5,49
112;0,32;5,61;262;false;true;true;8;0;5,72
113;0,33;5,58;262;false;true;true;8,17;0;6,01
114;0,33;5,73;262;false;true;true;8,45;0;6,46
115;0,33;5,67;260;false;true;true;8,57;0;5,52
