lengthMiddleSegment: 84518.54
step_energy: 0.05
electrostatic_force_factor: 1.0
spring_force_factor: 0.1
reject_force_factor: 2.0
distanceRejectRadius: 21129.635
distanceSamePosition: 21129.635
Iteration;time;energy;num nodes;reject force is enabled;spring force is enabled;electrostatic force is enabled;str_force;rep_force;elec_force
1;0;48,78;1452;false;true;true;17,66;0;31,4
2;0,03;57,93;1399;false;true;true;21;0;38,24
3;0,1;54,95;1342;false;true;true;19,96;0;36,44
4;0,11;55,78;1291;false;true;true;19,32;0;38,22
5;0,12;54,87;1236;false;true;true;19,7;0;37,69
6;0,12;51,74;1178;false;true;true;20;0;33,13
7;0,13;49,54;1134;false;true;true;18,59;0;32,65
8;0,14;48,27;1083;false;true;true;19,36;0;31,35
9;0,14;47,01;1039;false;true;true;18,79;0;30,14
10;0,15;45,66;1008;false;true;true;17,83;0;30,7
11;0,16;45,41;978;false;true;true;18,11;0;31,56
12;0,16;44,2;944;false;true;true;17,72;0;29,93
13;0,17;41,34;912;false;true;true;16,84;0;26,89
14;0,17;39,13;887;false;true;true;16,03;0;25,87
15;0,18;37,94;857;false;true;true;16,83;0;23,58
16;0,18;37,31;833;false;true;true;16,47;0;23,17
17;0,19;35,42;809;false;true;true;16,46;0;20,67
18;0,19;35,1;792;false;true;true;15,52;0;22,17
19;0,19;33,43;770;false;true;true;15,54;0;21,3
20;0,2;33,27;757;false;true;true;15,57;0;22,49
21;0,2;33,37;739;false;true;true;16,69;0;21,44
22;0,21;32,09;724;false;true;true;15,69;0;20,39
23;0,21;30,07;707;false;true;true;15,45;0;17,43
24;0,22;29,25;697;false;true;true;14,26;0;17,76
25;0,22;28,94;683;false;true;true;14,64;0;17,62
26;0,22;28,3;671;false;true;true;14,38;0;17,81
27;0,23;26,22;659;false;true;true;14,99;0;15,7
28;0,23;25,65;651;false;true;true;14,87;0;16,12
29;0,23;25,06;641;false;true;true;15,04;0;14,79
30;0,24;24,07;633;false;true;true;14,64;0;14,11
31;0,24;25,11;630;false;true;true;14,4;0;17,24
32;0,25;25,75;620;false;true;true;15,19;0;16,27
33;0,25;23,39;610;false;true;true;14,81;0;13,19
34;0,25;22,47;605;false;true;true;13,44;0;12,84
35;0,25;23,11;601;false;true;true;13,7;0;14,54
