lengthMiddleSegment: 84518.54
step_energy: 0.05
electrostatic_force_factor: 1.0
spring_force_factor: 0.1
reject_force_factor: 2.0
distanceRejectRadius: 21129.635
distanceSamePosition: 21129.635
Iteration;time;energy;num nodes;reject force is enabled;spring force is enabled;electrostatic force is enabled;str_force;rep_force;elec_force
1;0;50,55;1451;false;true;true;17,69;0;33,12
2;0,03;58,61;1399;false;true;true;21,17;0;38,7
3;0,09;55,5;1342;false;true;true;19,81;0;37,27
4;0,1;53,54;1295;false;true;true;18,87;0;36,28
5;0,11;51,56;1244;false;true;true;19,06;0;35,52
6;0,12;50,24;1194;false;true;true;18,98;0;32,9
7;0,12;46,98;1155;false;true;true;18,45;0;30,24
8;0,13;46,69;1118;false;true;true;18,78;0;30,44
9;0,14;44,83;1080;false;true;true;18,69;0;28,43
10;0,14;43,46;1051;false;true;true;17,82;0;28,22
11;0,15;43,89;1025;false;true;true;17,91;0;29,67
12;0,16;42,11;997;false;true;true;17,53;0;28,47
13;0,16;40,16;972;false;true;true;17,33;0;26,06
14;0,17;39,21;949;false;true;true;16,81;0;26,24
15;0,17;37,9;920;false;true;true;18,05;0;24,17
16;0,18;36,97;892;false;true;true;17,58;0;21,87
17;0,18;35,45;871;false;true;true;16,98;0;20,93
18;0,19;35,78;853;false;true;true;15,86;0;21,97
19;0,2;34,12;836;false;true;true;15,89;0;21,26
20;0,2;34,58;821;false;true;true;16,34;0;22,37
21;0,21;34,4;804;false;true;true;16,43;0;22,8
22;0,22;33,26;787;false;true;true;16,04;0;21,45
23;0,22;31,24;772;false;true;true;15,52;0;19,5
24;0,23;29,97;759;false;true;true;15,21;0;17,93
25;0,23;29,13;746;false;true;true;14,83;0;17,62
26;0,24;28,71;735;false;true;true;14,7;0;17,69
27;0,24;27,99;725;false;true;true;15,18;0;17,6
28;0,24;27,46;713;false;true;true;15,3;0;16,83
29;0,25;27,83;701;false;true;true;15,28;0;16,56
30;0,25;27,3;691;false;true;true;15,13;0;17,08
31;0,25;28,37;684;false;true;true;15,74;0;19,47
32;0,26;27,8;670;false;true;true;16,35;0;17,71
33;0,26;26,87;658;false;true;true;15,69;0;15,44
34;0,26;25,85;648;false;true;true;15,15;0;14,85
35;0,26;26,01;644;false;true;true;14,59;0;16,98
36;0,27;25,31;632;false;true;true;14,68;0;14,02
37;0,27;22,99;625;false;true;true;14,13;0;12,93
38;0,28;23,05;622;false;true;true;13,92;0;14,38
39;0,28;22,97;614;false;true;true;14,05;0;13,19
40;0,28;22,94;610;false;true;true;14,39;0;14,14
41;0,29;22,4;603;false;true;true;13,75;0;12,71
42;0,29;21,88;599;false;true;true;13,47;0;12,85
43;0,29;20,45;593;false;true;true;13,35;0;11,41
44;0,3;20,5;588;false;true;true;13,44;0;11,83
45;0,3;20,23;586;false;true;true;13,66;0;12,84
46;0,3;18,97;581;false;true;true;13,7;0;11,49
47;0,31;18,92;575;false;true;true;13,27;0;10,54
48;0,31;19,09;574;false;true;true;13,21;0;12,28
49;0,31;18,54;570;false;true;true;13,92;0;11,65
50;0,31;18,65;565;false;true;true;13,79;0;11,45
51;0,32;19,32;563;false;true;true;14,16;0;12,92
52;0,32;18,21;558;false;true;true;14,37;0;11,45
53;0,32;18,39;555;false;true;true;13,9;0;11,79
54;0,33;18,56;550;false;true;true;13,11;0;11,37
55;0,33;18,53;547;false;true;true;13,26;0;11,68
56;0,34;19,02;540;false;true;true;13,15;0;10,83
57;0,34;17,5;535;false;true;true;12,33;0;8,88
58;0,34;17,28;533;false;true;true;11,9;0;9,53
59;0,34;16,39;529;false;true;true;11,73;0;8,56
60;0,35;15,9;528;false;true;true;11,61;0;9,25
61;0,35;16,43;527;false;true;true;12,45;0;10,71
62;0,35;16,76;523;false;true;true;13,25;0;10,37
63;0,36;16,24;518;false;true;true;13;0;8,62
64;0,36;16,21;516;false;true;true;12,85;0;9,24
65;0,36;16,16;514;false;true;true;12,34;0;9,44
66;0,37;15,64;511;false;true;true;12,1;0;8,87
67;0,37;15,95;510;false;true;true;12,55;0;10,14
68;0,37;15,7;507;false;true;true;12,76;0;9,71
69;0,38;15,82;505;false;true;true;12,97;0;10,12
70;0,38;15,86;502;false;true;true;12,74;0;9,57
71;0,38;15,74;499;false;true;true;12,49;0;9,37
72;0,38;15,74;498;false;true;true;12,55;0;10,41
73;0,39;15,99;495;false;true;true;12,33;0;10,11
74;0,39;15,94;491;false;true;true;12,63;0;9,25
75;0,39;15,73;487;false;true;true;12,34;0;8,26
76;0,4;15,24;484;false;true;true;11,47;0;7,28
77;0,4;14,42;483;false;true;true;10,93;0;7,57
78;0,4;14,47;483;false;true;true;11,18;0;8,85
79;0,41;14,61;481;false;true;true;11,65;0;8,95
80;0,41;14,93;479;false;true;true;12,25;0;9,37
81;0,41;14,98;476;false;true;true;12,37;0;8,88
82;0,41;14,84;473;false;true;true;12,03;0;8,44
83;0,41;14,27;470;false;true;true;11,6;0;7,6
84;0,42;14,05;469;false;true;true;11,12;0;8,01
85;0,42;14,26;467;false;true;true;10,83;0;8,06
86;0,42;14,32;466;false;true;true;11,4;0;8,84
