lengthMiddleSegment: 60080.82
step_energy: 0.05
electrostatic_force_factor: 1.0
spring_force_factor: 0.1
reject_force_factor: 2.0
distanceRejectRadius: 15020.205
distanceSamePosition: 15020.205
Iteration;time;energy;num nodes;reject force is enabled;spring force is enabled;electrostatic force is enabled;str_force;rep_force;elec_force
1;0;49,91;1321;false;true;true;18,63;0;31,47
2;0,03;55,86;1278;false;true;true;21,7;0;36,57
3;0,09;54,23;1231;false;true;true;22,74;0;34,66
4;0,1;50,57;1184;false;true;true;20,39;0;32,52
5;0,11;50,27;1135;false;true;true;20,73;0;31,65
6;0,12;47,19;1093;false;true;true;19,78;0;29,47
7;0,13;44,54;1058;false;true;true;20,52;0;27,28
8;0,14;43,57;1031;false;true;true;18,9;0;28,71
9;0,14;41,87;1001;false;true;true;19,78;0;26,54
10;0,15;40,96;977;false;true;true;19,2;0;25,41
11;0,16;41,56;954;false;true;true;20,05;0;26,44
12;0,16;40,19;932;false;true;true;18,96;0;24,27
13;0,17;38,01;911;false;true;true;19,18;0;22,41
14;0,17;37,28;891;false;true;true;19,13;0;21,3
15;0,18;36,59;878;false;true;true;18,17;0;22,28
16;0,18;35,9;861;false;true;true;18,68;0;21,25
17;0,19;35,94;846;false;true;true;19,29;0;21,4
18;0,19;34,98;831;false;true;true;19,52;0;21,13
19;0,19;34,66;817;false;true;true;18,31;0;21,58
20;0,2;34,49;803;false;true;true;19,19;0;21,01
21;0,2;32,93;787;false;true;true;19,1;0;19,43
22;0,21;31,77;774;false;true;true;18,84;0;18,13
23;0,21;29,38;764;false;true;true;17,5;0;16,46
24;0,22;29,24;757;false;true;true;17,38;0;17,07
25;0,22;28,75;750;false;true;true;17,3;0;17,25
26;0,22;28,66;743;false;true;true;18,22;0;17,65
27;0,23;28,27;732;false;true;true;18,6;0;15,32
28;0,23;27,52;727;false;true;true;17,46;0;16,17
29;0,24;27,85;722;false;true;true;17,47;0;17,66
30;0,24;27,95;713;false;true;true;18,96;0;16,82
31;0,25;27,86;705;false;true;true;19,04;0;16,72
32;0,25;28,32;700;false;true;true;18,55;0;18,39
