lengthMiddleSegment: 85597.07
step_energy: 0.05
electrostatic_force_factor: 1.0
spring_force_factor: 0.1
reject_force_factor: 2.0
distanceRejectRadius: 21399.2675
distanceSamePosition: 21399.2675
Iteration;time;energy;num nodes;reject force is enabled;spring force is enabled;electrostatic force is enabled;str_force;rep_force;elec_force
1;1397729152;51,21;1018;false;true;true;23,23;0;30,31
2;0,01;51,08;978;false;true;true;22,66;0;30,42
3;0,05;48,63;938;false;true;true;22,55;0;28,17
4;0,05;47,67;907;false;true;true;21,97;0;28,32
5;0,06;46,84;873;false;true;true;22,24;0;28,28
6;0,07;47,29;844;false;true;true;21,73;0;28,66
7;0,08;43,96;810;false;true;true;21,6;0;23,95
8;0,09;42,89;791;false;true;true;19,41;0;25,33
9;0,09;40,39;769;false;true;true;19,45;0;23,91
10;0,1;38,53;752;false;true;true;18,61;0;23,43
11;0,1;35,34;731;false;true;true;19,05;0;19,01
12;0,11;35,8;722;false;true;true;17,4;0;21,84
13;0,11;33,73;703;false;true;true;18,56;0;18,16
14;0,12;33,04;693;false;true;true;17,28;0;19,17
15;0,13;31,68;680;false;true;true;17,99;0;18,38
16;0,13;31,41;668;false;true;true;17,53;0;17,76
17;0,14;30,43;655;false;true;true;17,75;0;16,89
18;0,14;29,5;645;false;true;true;16,73;0;16,48
19;0,14;28,9;633;false;true;true;17,33;0;15,99
20;0,14;27,62;626;false;true;true;16,46;0;16,55
21;0,15;26,73;614;false;true;true;17,18;0;14,22
22;0,15;26,09;609;false;true;true;15,89;0;14,53
23;0,15;26,63;602;false;true;true;17,02;0;15,72
24;0,16;25,43;593;false;true;true;15,9;0;12,85
25;0,16;25,82;589;false;true;true;15,83;0;14,72
26;0,16;25,59;582;false;true;true;15,95;0;14,5
27;0,16;24,45;573;false;true;true;15,03;0;12,08
28;0,17;24,95;569;false;true;true;14,78;0;13,22
29;0,17;23,59;561;false;true;true;14,77;0;11,65
30;0,17;22,94;557;false;true;true;13,94;0;11,75
31;0,17;23,56;554;false;true;true;14,39;0;13,43
32;0,17;23,14;547;false;true;true;15,16;0;12,83
