lengthMiddleSegment: 85597.07
step_energy: 0.05
electrostatic_force_factor: 1.0
spring_force_factor: 0.1
reject_force_factor: 2.0
distanceRejectRadius: 21399.2675
distanceSamePosition: 21399.2675
Iteration;time;energy;num nodes;reject force is enabled;spring force is enabled;electrostatic force is enabled;str_force;rep_force;elec_force
1;0;48,92;1445;false;true;true;18,4;0;30,63
2;0,03;56,59;1391;false;true;true;20,86;0;36,73
3;0,09;57,58;1335;false;true;true;20,24;0;38,94
4;0,1;56,24;1285;false;true;true;20,39;0;37,22
5;0,11;52,14;1224;false;true;true;18,96;0;34,83
6;0,12;50,67;1173;false;true;true;19;0;33,15
7;0,12;49,58;1125;false;true;true;18,61;0;32,62
8;0,13;48,14;1086;false;true;true;17,84;0;32,17
9;0,14;46,58;1047;false;true;true;17,93;0;30,3
10;0,14;46,09;1009;false;true;true;18,19;0;29,94
11;0,15;46,19;971;false;true;true;18,1;0;30,82
12;0,16;46,11;933;false;true;true;18,79;0;29,64
13;0,16;44,01;900;false;true;true;17,82;0;28,8
14;0,17;44,71;866;false;true;true;17,62;0;30,55
15;0,17;42,44;831;false;true;true;17,56;0;27,12
16;0,17;40,6;801;false;true;true;17,13;0;25,53
17;0,18;39,46;781;false;true;true;16,26;0;26,26
18;0,18;36,99;760;false;true;true;16,21;0;24,99
19;0,19;35,22;739;false;true;true;16,58;0;22,84
20;0,19;32,09;718;false;true;true;16,1;0;18,73
21;0,19;32,77;708;false;true;true;15,03;0;21,59
22;0,2;31,98;692;false;true;true;15,82;0;20,25
23;0,2;31,05;678;false;true;true;15,44;0;19,59
24;0,21;30,29;666;false;true;true;14,88;0;19,02
25;0,21;30,47;654;false;true;true;14,99;0;19,25
26;0,22;28,52;639;false;true;true;14,17;0;16,42
27;0,22;26,98;629;false;true;true;13,56;0;15,95
28;0,22;26,99;618;false;true;true;13,86;0;16,22
29;0,22;24,75;607;false;true;true;13,39;0;14,59
30;0,23;24,08;598;false;true;true;13,61;0;13,98
31;0,23;24,01;593;false;true;true;13,09;0;14,77
32;0,23;25,16;586;false;true;true;13,93;0;16,12
33;0,24;22,42;575;false;true;true;13,53;0;12,42
34;0,24;23,17;572;false;true;true;13,01;0;15,02
35;0,24;22,9;565;false;true;true;13,02;0;14,7
36;0,25;21,43;556;false;true;true;13,11;0;12,2
37;0,25;21,24;551;false;true;true;12,8;0;12,44
38;0,25;21,24;547;false;true;true;12,43;0;13,29
39;0,25;20,95;540;false;true;true;12,55;0;12,41
40;0,25;20,05;534;false;true;true;12,56;0;11,49
41;0,26;20,33;530;false;true;true;12,72;0;12,53
42;0,26;19,81;524;false;true;true;12,5;0;11,64
43;0,26;20,07;520;false;true;true;12,38;0;12,33
44;0,26;19,71;514;false;true;true;12,45;0;11,54
45;0,26;19,73;509;false;true;true;12,44;0;11,71
46;0,27;19,84;505;false;true;true;12,16;0;12
47;0,27;18,9;499;false;true;true;12,06;0;10,84
48;0,27;19,1;497;false;true;true;11,74;0;12,47
49;0,28;18,75;491;false;true;true;11,75;0;11,32
50;0,28;18,48;487;false;true;true;12,01;0;11,63
