lengthMiddleSegment: 60080.82
step_energy: 0.05
electrostatic_force_factor: 1.0
spring_force_factor: 0.1
reject_force_factor: 2.0
distanceRejectRadius: 15020.205
distanceSamePosition: 15020.205
Iteration;time;energy;num nodes;reject force is enabled;spring force is enabled;electrostatic force is enabled;str_force;rep_force;elec_force
1;0;49,6;1318;false;true;true;18,44;0;31,28
2;0,04;57,43;1275;false;true;true;21,53;0;38,13
3;0,1;54,27;1224;false;true;true;22,1;0;34,5
4;0,11;50,62;1178;false;true;true;20,2;0;32,03
5;0,12;48,72;1139;false;true;true;20,38;0;30,87
6;0,12;47,46;1104;false;true;true;19,46;0;30,57
7;0,13;44,92;1066;false;true;true;20,34;0;28,19
8;0,14;43,14;1038;false;true;true;19;0;27,79
9;0,14;41,84;1012;false;true;true;19,07;0;26,52
10;0,15;41,06;988;false;true;true;18,92;0;26,31
11;0,16;41,05;962;false;true;true;19,25;0;25,61
12;0,16;38,86;939;false;true;true;18,36;0;23,38
13;0,17;38,63;915;false;true;true;19,18;0;22,15
14;0,17;37,98;899;false;true;true;17,87;0;23,6
15;0,17;37,95;880;false;true;true;18,51;0;23,94
16;0,18;36,49;859;false;true;true;18,83;0;21,92
17;0,18;35,97;843;false;true;true;18,7;0;21,87
18;0,19;34,32;828;false;true;true;19,01;0;21,18
19;0,19;34,06;817;false;true;true;18,19;0;22,32
20;0,19;34,23;802;false;true;true;19,71;0;21,44
21;0,2;33,16;789;false;true;true;19,61;0;19,49
22;0,2;31,67;776;false;true;true;18;0;16,68
23;0,21;31,62;770;false;true;true;17,11;0;18,84
24;0,21;30,89;759;false;true;true;17,95;0;17,96
25;0,21;31,57;751;false;true;true;17,85;0;18,8
26;0,22;31,47;743;false;true;true;18,12;0;19,37
27;0,22;29,65;731;false;true;true;18,48;0;16,75
28;0,22;29,79;726;false;true;true;17,69;0;18,67
29;0,23;30,45;718;false;true;true;18,29;0;19,66
30;0,23;29,12;705;false;true;true;19,06;0;16,12
31;0,23;29,09;698;false;true;true;18,47;0;17,13
32;0,24;28,81;692;false;true;true;17,95;0;18,25
33;0,24;28,3;681;false;true;true;18,49;0;16,68
34;0,24;27,34;675;false;true;true;18,01;0;17,11
35;0,25;26,88;666;false;true;true;17,73;0;16,15
36;0,25;25,95;657;false;true;true;17,61;0;14,25
37;0,25;25,74;654;false;true;true;17,35;0;16,15
38;0,26;26,08;650;false;true;true;17,53;0;17,9
39;0,26;25,16;643;false;true;true;18,23;0;16,44
40;0,26;25,31;637;false;true;true;18,37;0;16,29
