lengthMiddleSegment: 85597.07
step_energy: 0.05
electrostatic_force_factor: 1.0
spring_force_factor: 0.1
reject_force_factor: 2.0
distanceRejectRadius: 21399.2675
distanceSamePosition: 21399.2675
Iteration;time;energy;num nodes;reject force is enabled;spring force is enabled;electrostatic force is enabled;str_force;rep_force;elec_force
1;0;50,36;1498;false;true;true;18,36;0;32,13
2;0,03;59,92;1444;false;true;true;21,33;0;39,43
3;0,36;56,56;1384;false;true;true;20,87;0;37,6
4;0,37;55,36;1325;false;true;true;19,09;0;37,95
5;0,38;52,92;1278;false;true;true;20,05;0;34,61
6;0,39;50,53;1228;false;true;true;17,97;0;34,52
7;0,4;50,57;1176;false;true;true;18,65;0;33,96
8;0,4;49,8;1131;false;true;true;18,03;0;34,12
9;0,41;48,79;1087;false;true;true;18,65;0;32,01
10;0,41;47,19;1048;false;true;true;18,03;0;30,53
11;0,42;46,92;1009;false;true;true;17,48;0;31,15
12;0,43;45,54;970;false;true;true;18,54;0;28,34
13;0,43;46,44;938;false;true;true;17,5;0;31,76
14;0,44;44,92;901;false;true;true;18,5;0;29,29
15;0,45;43,88;869;false;true;true;17,44;0;29,11
16;0,45;41,66;840;false;true;true;17,35;0;26,83
17;0,46;40,11;814;false;true;true;16,93;0;25,89
18;0,47;39,77;791;false;true;true;17,3;0;26,13
19;0,47;38,63;769;false;true;true;17,46;0;25,97
20;0,47;37,24;748;false;true;true;17,57;0;24,27
21;0,48;35,56;725;false;true;true;16,83;0;22,28
22;0,48;34,93;709;false;true;true;16,43;0;22,55
23;0,49;32,66;690;false;true;true;16,67;0;20,66
24;0,49;31,28;673;false;true;true;15,72;0;18,38
25;0,5;30,08;660;false;true;true;14,83;0;18,49
26;0,5;30,79;647;false;true;true;14,97;0;19,22
27;0,5;28,49;631;false;true;true;14,4;0;16,66
28;0,51;25,84;618;false;true;true;13,91;0;13,66
29;0,51;26,66;613;false;true;true;13,42;0;16,45
30;0,52;25,18;601;false;true;true;14,33;0;14,82
31;0,52;25,24;596;false;true;true;14,02;0;16,44
32;0,52;24,29;586;false;true;true;14,31;0;15,1
33;0,53;22,95;575;false;true;true;14,07;0;12,06
34;0,53;21,04;569;false;true;true;13,06;0;11,58
35;0,53;21,56;566;false;true;true;12,76;0;13,41
36;0,54;22,22;560;false;true;true;13,18;0;13,77
37;0,54;21,01;552;false;true;true;13,34;0;11,78
38;0,54;20,76;548;false;true;true;12,69;0;12,12
39;0,55;20,35;540;false;true;true;12,6;0;10,34
40;0,55;19,6;537;false;true;true;11,72;0;10,8
41;0,55;19,1;534;false;true;true;11,59;0;11,32
42;0,55;19,16;528;false;true;true;12,71;0;11,02
43;0,55;18,77;525;false;true;true;12,57;0;11,36
44;0,56;18,8;520;false;true;true;12,24;0;10,89
45;0,56;19,42;517;false;true;true;12,43;0;11,94
46;0,56;19,09;513;false;true;true;12,49;0;11,81
47;0,56;18,86;508;false;true;true;12,42;0;11,29
48;0,57;18,59;503;false;true;true;12,21;0;10,68
49;0,57;18,43;500;false;true;true;11,91;0;11,14
50;0,57;17,86;496;false;true;true;11,88;0;10,64
51;0,58;17,35;492;false;true;true;12,26;0;10,33
52;0,58;17,12;488;false;true;true;12,18;0;9,72
53;0,58;17,38;485;false;true;true;12,06;0;10,01
54;0,59;17,42;481;false;true;true;12,25;0;9,92
55;0,59;16,93;477;false;true;true;12,17;0;9,42
56;0,59;16,75;474;false;true;true;11,52;0;9,26
57;0,59;16,31;471;false;true;true;11,4;0;9,19
58;0,6;16,37;468;false;true;true;11,98;0;9,6
59;0,6;16,7;466;false;true;true;11,79;0;10,28
60;0,6;16,96;461;false;true;true;12,04;0;9,39
61;0,6;16,99;459;false;true;true;11,95;0;10,1
62;0,61;16,08;454;false;true;true;11,69;0;8,64
63;0,61;16,06;452;false;true;true;11,38;0;9,18
64;0,61;16,15;451;false;true;true;11,47;0;10,38
65;0,62;16,53;447;false;true;true;11,41;0;9,52
66;0,62;16,33;444;false;true;true;11,26;0;9,33
67;0,62;16,51;441;false;true;true;11,35;0;9,49
68;0,62;15,57;437;false;true;true;10,83;0;8,6
69;0,62;16,14;436;false;true;true;10,99;0;10,12
70;0,63;15,43;430;false;true;true;11,14;0;8,15
71;0,63;15,44;429;false;true;true;11,12;0;9,42
72;0,63;15,26;426;false;true;true;11,36;0;9,62
73;0,63;15,05;423;false;true;true;10,94;0;9,13
74;0,63;14,73;420;false;true;true;11,37;0;9,1
75;0,64;15,56;419;false;true;true;11,43;0;10,5
76;0,64;14,93;415;false;true;true;11,68;0;9,84
77;0,64;15,04;411;false;true;true;11,33;0;8,99
78;0,64;14,89;408;false;true;true;11,31;0;9,07
79;0,65;13,83;405;false;true;true;10,25;0;7,76
80;0,65;13,74;403;false;true;true;10,49;0;8,31
81;0,65;13,79;401;false;true;true;10,6;0;8,53
82;0,65;13,83;398;false;true;true;10,54;0;7,96
83;0,65;13,15;396;false;true;true;10,52;0;7,76
84;0,66;13,4;395;false;true;true;10,67;0;8,73
85;0,66;13,47;393;false;true;true;10,44;0;8,64
86;0,66;13,48;390;false;true;true;10,8;0;8,14
87;0,66;13,41;387;false;true;true;10,96;0;7,79
88;0,67;13,3;385;false;true;true;10,4;0;7,58
89;0,67;12,89;382;false;true;true;10,24;0;6,86
90;0,67;13,07;382;false;true;true;10,21;0;8,15
91;0,67;13,27;379;false;true;true;10;0;7,37
92;0,67;13,14;377;false;true;true;10,32;0;7,45
93;0,68;13,17;375;false;true;true;10,44;0;7,66
94;0,68;12,93;372;false;true;true;10,23;0;6,97
95;0,68;12,92;371;false;true;true;10,06;0;7,47
96;0,68;12,87;369;false;true;true;10,12;0;7,49
97;0,68;12,96;367;false;true;true;10,11;0;7,58
98;0,69;12,78;364;false;true;true;10,3;0;7,13
99;0,69;12,65;362;false;true;true;9,79;0;6,94
100;0,69;11,53;360;false;true;true;9,43;0;6,34
101;0,69;11,69;360;false;true;true;9,59;0;7,47
102;0,69;11,43;358;false;true;true;9,8;0;7,03
103;0,69;11,87;357;false;true;true;10,2;0;7,71
104;0,7;11,59;355;false;true;true;10,33;0;7,4
