lengthMiddleSegment: 60453.67
step_energy: 0.05
electrostatic_force_factor: 1.0
spring_force_factor: 0.1
reject_force_factor: 2.0
distanceRejectRadius: 15113.4175
distanceSamePosition: 15113.4175
Iteration;time;energy;num nodes;reject force is enabled;spring force is enabled;electrostatic force is enabled;str_force;rep_force;elec_force
1;0;43,16;1265;false;true;true;18,24;0;25,22
2;0,02;51,37;1219;false;true;true;19,17;0;34,09
3;0,19;52,31;1171;false;true;true;20,1;0;34,93
4;0,21;48,26;1128;false;true;true;19,24;0;31,39
5;0,22;45,96;1087;false;true;true;18,16;0;30,41
6;0,23;41,85;1046;false;true;true;17,65;0;27,15
7;0,24;39,71;1014;false;true;true;17,6;0;26,29
8;0,24;39,71;987;false;true;true;17,49;0;26,71
9;0,25;37,69;956;false;true;true;17,3;0;24,55
10;0,25;36,91;927;false;true;true;17,13;0;24,43
11;0,26;37,57;906;false;true;true;17,28;0;25,94
12;0,26;36,34;876;false;true;true;18,02;0;23,61
13;0,27;35,18;857;false;true;true;16,95;0;22,61
14;0,27;33,52;840;false;true;true;16,12;0;22,17
15;0,28;32,66;820;false;true;true;16,19;0;21,15
16;0,28;32,58;803;false;true;true;16,9;0;21,9
17;0,28;31,23;783;false;true;true;16,9;0;19,07
18;0,29;30;768;false;true;true;16,1;0;19,29
19;0,29;28,93;756;false;true;true;15,7;0;19,27
20;0,29;27,51;744;false;true;true;15,96;0;17,96
21;0,3;25,72;731;false;true;true;16,26;0;14,98
22;0,3;26,46;726;false;true;true;15,89;0;17,57
23;0,3;25,77;716;false;true;true;15,46;0;16,41
24;0,31;25,52;709;false;true;true;15,57;0;17,35
25;0,31;25,43;697;false;true;true;16,68;0;16,95
26;0,31;25,48;690;false;true;true;16,06;0;17,6
27;0,32;23,48;680;false;true;true;16,58;0;15,37
28;0,32;23,17;673;false;true;true;16,02;0;14,72
29;0,32;23,7;667;false;true;true;16,08;0;15,79
30;0,33;22,94;659;false;true;true;15,72;0;14,46
31;0,33;22,93;653;false;true;true;15,35;0;14,54
32;0,34;22,92;646;false;true;true;14,58;0;13,5
33;0,34;21,75;638;false;true;true;14,55;0;11,53
34;0,34;20,97;635;false;true;true;13,93;0;12,05
35;0,34;20,67;632;false;true;true;13,77;0;12,63
36;0,35;20,18;627;false;true;true;14,52;0;11,86
37;0,35;20,2;623;false;true;true;14,89;0;11,99
38;0,35;19,3;619;false;true;true;14,11;0;11
39;0,36;18,64;616;false;true;true;14,08;0;10,99
40;0,36;18,73;613;false;true;true;14,2;0;11,18
41;0,36;18,8;611;false;true;true;14,4;0;12,02
42;0,37;18,07;606;false;true;true;14,66;0;10,69
43;0,37;18,3;605;false;true;true;14,67;0;12,04
44;0,37;18,29;602;false;true;true;14,99;0;12,15
45;0,38;18,25;599;false;true;true;15,53;0;12,5
46;0,38;19,01;597;false;true;true;15,43;0;13,18
47;0,38;18,85;592;false;true;true;15,46;0;11,85
48;0,38;18,4;586;false;true;true;15,26;0;9,92
49;0,39;17,42;583;false;true;true;14,13;0;9,14
50;0,39;17,59;582;false;true;true;13,27;0;9,89
51;0,39;17,87;580;false;true;true;13,77;0;10,57
52;0,4;17,77;576;false;true;true;14,39;0;10,11
53;0,4;17,33;574;false;true;true;14,27;0;10,26
54;0,4;17,06;571;false;true;true;14,15;0;9,86
55;0,4;17,19;570;false;true;true;14,05;0;10,89
56;0,41;17,45;567;false;true;true;14,29;0;10,82
57;0,41;16,82;564;false;true;true;14,27;0;10,21
58;0,41;16,61;562;false;true;true;14,15;0;10,45
59;0,41;16,98;560;false;true;true;14,29;0;11,03
60;0,41;16,79;556;false;true;true;14,4;0;10,18
61;0,41;16,41;554;false;true;true;14,22;0;10,25
62;0,42;15,68;552;false;true;true;14,1;0;10,03
63;0,42;16,16;552;false;true;true;14,54;0;11,7
64;0,42;16,69;548;false;true;true;14,29;0;10,62
65;0,42;16,5;546;false;true;true;14,49;0;10,72
66;0,43;16,74;543;false;true;true;14,84;0;10,55
67;0,43;16,49;541;false;true;true;14,42;0;10,67
68;0,43;16,3;537;false;true;true;13,53;0;9,23
69;0,43;15,69;534;false;true;true;13,14;0;8,39
70;0,44;15,04;533;false;true;true;12,99;0;8,67
71;0,44;14,93;533;false;true;true;13,03;0;9,74
72;0,44;15,5;533;false;true;true;13,72;0;11,38
73;0,44;15,25;529;false;true;true;14,04;0;9,88
74;0,45;14,96;527;false;true;true;14,37;0;9,91
75;0,45;14,7;526;false;true;true;14,07;0;10,16
76;0,45;15,01;526;false;true;true;14,25;0;11,64
77;0,45;15,25;523;false;true;true;14,49;0;11,02
78;0,46;15,9;520;false;true;true;14,86;0;10,86
79;0,46;15,31;516;false;true;true;14,38;0;9,48
80;0,46;15,11;513;false;true;true;13,52;0;8,66
81;0,46;14,45;512;false;true;true;12,68;0;8,8
