lengthMiddleSegment: 60419.635
step_energy: 0.05
electrostatic_force_factor: 1.0
spring_force_factor: 0.1
reject_force_factor: 2.0
distanceRejectRadius: 15104.90875
distanceSamePosition: 15104.90875
Iteration;time;energy;num nodes;reject force is enabled;spring force is enabled;electrostatic force is enabled;str_force;rep_force;elec_force
1;0;41,11;1300;false;true;true;17,96;0;23,32
2;0,05;48,69;1250;false;true;true;18,25;0;32,04
3;0,09;49,82;1209;false;true;true;18,75;0;33,58
4;0,09;46,83;1165;false;true;true;19,09;0;31,2
5;0,1;43,53;1125;false;true;true;18,88;0;28,04
6;0,11;41,9;1088;false;true;true;17,88;0;26,62
7;0,11;40,41;1062;false;true;true;17,21;0;25,83
8;0,12;39,98;1038;false;true;true;17,38;0;26,21
9;0,12;38,09;1011;false;true;true;17,97;0;23,94
10;0,13;37,08;987;false;true;true;17,48;0;24,18
11;0,13;34,8;961;false;true;true;17,91;0;20,68
12;0,14;35,26;943;false;true;true;16,87;0;21,93
13;0,14;34,25;927;false;true;true;17,18;0;21,67
14;0,14;33,59;910;false;true;true;17,51;0;21,65
15;0,15;33,5;893;false;true;true;17,87;0;21,2
16;0,16;32,95;879;false;true;true;17,39;0;21,48
17;0,16;32,27;861;false;true;true;17,96;0;19,93
18;0,16;31,74;846;false;true;true;17,18;0;19,31
19;0,17;31,96;834;false;true;true;17,63;0;20,44
20;0,17;31,82;818;false;true;true;17,72;0;19,83
21;0,17;30,6;803;false;true;true;17,5;0;18,48
22;0,17;30,06;793;false;true;true;16,55;0;18,17
23;0,18;30,49;784;false;true;true;16,49;0;20,22
24;0,18;27,78;768;false;true;true;16,91;0;16,59
25;0,18;26,95;762;false;true;true;16,31;0;16,67
26;0,19;26,34;755;false;true;true;16,74;0;16,56
27;0,19;25,78;749;false;true;true;16,57;0;16,37
28;0,19;25,52;742;false;true;true;16,51;0;15,7
29;0,19;25,13;736;false;true;true;16,82;0;15,31
30;0,2;23,54;728;false;true;true;16,42;0;13,2
31;0,2;23,97;727;false;true;true;15,71;0;15,62
32;0,2;25,17;722;false;true;true;16,75;0;16,6
33;0,2;24,25;713;false;true;true;17,46;0;14,69
34;0,2;23,59;707;false;true;true;15,91;0;12,64
35;0,21;24,39;707;false;true;true;15,72;0;15,88
