lengthMiddleSegment: 163112.67
step_energy: 0.05
electrostatic_force_factor: 1.0
spring_force_factor: 0.1
reject_force_factor: 2.0
distanceRejectRadius: 40778.1675
distanceSamePosition: 40778.1675
Iteration;time;energy;num nodes;reject force is enabled;spring force is enabled;electrostatic force is enabled;str_force;rep_force;elec_force
1;0;23,04;369;false;true;true;10,35;0;13,15
2;0,01;23,91;348;false;true;true;11,1;0;13,51
3;0,05;20,61;333;false;true;true;10,98;0;10,81
4;0,05;20,73;323;false;true;true;10,47;0;12,5
5;0,05;18,9;307;false;true;true;10,89;0;10,14
6;0,06;16,75;295;false;true;true;9,54;0;8,54
7;0,06;14,44;288;false;true;true;8,85;0;7,3
8;0,06;14,25;286;false;true;true;8,01;0;8,95
9;0,06;13,09;279;false;true;true;8,69;0;7,41
10;0,07;12,79;276;false;true;true;7,95;0;7,84
11;0,07;12,47;270;false;true;true;7,82;0;6,07
12;0,07;11,73;268;false;true;true;7,15;0;6,59
13;0,07;11,59;266;false;true;true;6,92;0;6,95
14;0,08;10,03;262;false;true;true;7,15;0;5,57
15;0,08;9,16;259;false;true;true;6,91;0;4,43
16;0,08;8,97;259;false;true;true;6,89;0;5,3
17;0,08;8,53;257;false;true;true;7,18;0;4,84
18;0,09;8,38;257;false;true;true;7,2;0;5,54
19;0,09;8,62;256;false;true;true;7,48;0;5,76
20;0,09;9;256;false;true;true;8,03;0;6,95
21;0,1;8,96;253;false;true;true;7,94;0;5,77
22;0,1;8,96;251;false;true;true;7,72;0;5,56
23;0,11;8,13;249;false;true;true;7,17;0;4,51
24;0,11;8,14;249;false;true;true;7,4;0;5,23
25;0,11;7,89;247;false;true;true;7,27;0;4,28
26;0,11;7,67;246;false;true;true;6,85;0;4,08
27;0,12;7,58;246;false;true;true;6,87;0;4,63
28;0,12;7,76;245;false;true;true;7,16;0;4,69
29;0,12;7,84;244;false;true;true;7,49;0;4,85
30;0,12;7,99;243;false;true;true;7,34;0;4,98
31;0,12;7,45;241;false;true;true;6,94;0;3,91
32;0,12;7,39;241;false;true;true;6,97;0;4,49
33;0,13;7,21;240;false;true;true;6,8;0;4,26
34;0,13;6,95;239;false;true;true;6,79;0;3,99
35;0,13;6,85;239;false;true;true;6,75;0;4,43
36;0,13;7;239;false;true;true;6,91;0;5,04
37;0,13;7,1;238;false;true;true;7,06;0;4,85
38;0,14;7,41;237;false;true;true;6,84;0;4,67
39;0,14;7,22;235;false;true;true;6,66;0;3,87
40;0,14;7,09;235;false;true;true;6,61;0;4,39
41;0,14;6,73;234;false;true;true;6,57;0;4,09
42;0,15;6,77;234;false;true;true;6,78;0;4,6
43;0,15;6,9;233;false;true;true;6,58;0;4,31
44;0,15;7,13;232;false;true;true;6,65;0;4,38
45;0,16;7,01;230;false;true;true;6,41;0;3,33
46;0,16;6,78;230;false;true;true;6,21;0;3,73
47;0,16;6,69;229;false;true;true;5,93;0;3,34
48;0,16;6,44;229;false;true;true;5,88;0;3,66
49;0,17;6,44;229;false;true;true;6,14;0;4,09
50;0,17;6,58;228;false;true;true;6,27;0;3,97
51;0,17;6,4;227;false;true;true;6,36;0;3,64
52;0,17;6,05;226;false;true;true;6,23;0;3,27
53;0,17;5,83;226;false;true;true;6,07;0;3,49
54;0,17;5,74;226;false;true;true;6,15;0;3,75
55;0,18;5,72;226;false;true;true;6,35;0;4,06
56;0,18;5,82;226;false;true;true;6,6;0;4,48
57;0,18;6,01;225;false;true;true;6,91;0;4,34
58;0,18;6,16;225;false;true;true;7,01;0;4,95
59;0,18;6,02;223;false;true;true;6,49;0;3,72
60;0,18;5,83;223;false;true;true;6,31;0;4,03
61;0,18;5,85;223;false;true;true;6,42;0;4,43
62;0,18;6,07;223;false;true;true;6,69;0;5,01
63;0,19;6,6;222;false;true;true;6,78;0;5,11
64;0,19;6,51;219;false;true;true;6,23;0;3,28
65;0,19;5,95;218;false;true;true;5,74;0;2,85
66;0,19;5,58;218;false;true;true;5,37;0;3,03
67;0,19;5,38;218;false;true;true;5,34;0;3,21
68;0,19;5,25;218;false;true;true;5,54;0;3,41
69;0,2;5,19;218;false;true;true;5,75;0;3,65
70;0,2;5,22;218;false;true;true;6;0;3,97
71;0,2;5,35;217;false;true;true;6,27;0;3,71
72;0,2;5,31;217;false;true;true;6,27;0;4,09
73;0,2;5,2;216;false;true;true;5,97;0;3,49
74;0,21;5,03;216;false;true;true;5,85;0;3,72
75;0,21;5,04;216;false;true;true;5,98;0;4,04
76;0,21;4,97;215;false;true;true;5,82;0;3,57
77;0,21;4,93;215;false;true;true;5,92;0;3,82
78;0,21;5,01;215;false;true;true;6,08;0;4,17
79;0,21;5,1;214;false;true;true;6,16;0;3,86
80;0,21;4,76;213;false;true;true;5,91;0;3,35
81;0,21;4,57;213;false;true;true;5,76;0;3,5
82;0,21;4,47;213;false;true;true;5,72;0;3,66
83;0,22;4,42;213;false;true;true;5,85;0;3,85
84;0,22;4,41;213;false;true;true;6;0;4,06
85;0,22;4,45;213;false;true;true;6,19;0;4,33
86;0,22;4,6;213;false;true;true;6,44;0;4,72
87;0,22;4,95;212;false;true;true;6,71;0;4,6
88;0,22;5,1;210;false;true;true;6,13;0;3,34
89;0,22;4,68;210;false;true;true;5,71;0;3,5
90;0,22;4,45;210;false;true;true;5,48;0;3,66
91;0,22;4,33;210;false;true;true;5,55;0;3,84
92;0,22;4,27;210;false;true;true;5,78;0;4,05
93;0,22;4,28;210;false;true;true;6,01;0;4,31
94;0,23;4,39;210;false;true;true;6,25;0;4,67
95;0,23;4,37;209;false;true;true;5,97;0;4,13
96;0,23;4,47;208;false;true;true;6,04;0;3,78
97;0,23;4,51;208;false;true;true;6,01;0;4,18
98;0,23;4,3;206;false;true;true;5,26;0;2,86
99;0,23;4,07;206;false;true;true;5,04;0;2,98
100;0,23;3,94;206;false;true;true;5,03;0;3,09
101;0,23;3,85;206;false;true;true;5,08;0;3,23
102;0,23;3,79;206;false;true;true;5,18;0;3,38
103;0,23;3,79;206;false;true;true;5,32;0;3,57
104;0,24;3,87;206;false;true;true;5,5;0;3,85
105;0,24;4,08;205;false;true;true;5,64;0;3,54
106;0,24;3,98;204;false;true;true;5,22;0;2,88
107;0,24;3,68;204;false;true;true;4,94;0;2,97
108;0,24;3,51;204;false;true;true;4,79;0;3,06
109;0,24;3,4;204;false;true;true;4,84;0;3,15
110;0,24;3,32;204;false;true;true;4,98;0;3,24
111;0,24;3,26;204;false;true;true;5,1;0;3,34
112;0,24;3,24;204;false;true;true;5,21;0;3,47
113;0,25;3,25;204;false;true;true;5,33;0;3,62
114;0,25;3,36;204;false;true;true;5,47;0;3,88
115;0,25;3,32;203;false;true;true;5,39;0;3,28
116;0,25;3,15;203;false;true;true;5,26;0;3,36
117;0,25;3,05;203;false;true;true;5,2;0;3,45
118;0,25;2,99;203;false;true;true;5,18;0;3,53
119;0,25;2,95;203;false;true;true;5,29;0;3,63
120;0,25;2,93;203;false;true;true;5,4;0;3,74
121;0,25;2,93;203;false;true;true;5,51;0;3,86
122;0,25;2,96;203;false;true;true;5,63;0;4,02
123;0,25;3,04;203;false;true;true;5,76;0;4,22
124;0,26;3,22;203;false;true;true;5,94;0;4,53
125;0,26;3,38;202;false;true;true;5,96;0;4,12
126;0,26;3,44;201;false;true;true;5,6;0;3,53
127;0,26;3,21;201;false;true;true;5,33;0;3,65
128;0,26;3,11;201;false;true;true;5,21;0;3,8
129;0,26;3,12;201;false;true;true;5,31;0;3,99
130;0,26;3,4;200;false;true;true;5,02;0;3,41
131;0,26;3,25;200;false;true;true;4,96;0;3,53
132;0,26;3,19;200;false;true;true;5,05;0;3,67
133;0,26;3,18;200;false;true;true;5,22;0;3,84
134;0,27;3,24;200;false;true;true;5,41;0;4,06
135;0,27;3,4;200;false;true;true;5,62;0;4,39
136;0,27;3,17;199;false;true;true;5,54;0;3,65
137;0,27;3,16;199;false;true;true;5,58;0;3,85
138;0,27;3,28;199;false;true;true;5,68;0;4,16
139;0,27;3,44;198;false;true;true;5,31;0;3,67
140;0,27;3,25;197;false;true;true;4,93;0;2,97
141;0,27;3,12;197;false;true;true;4,79;0;3,07
142;0,27;3,04;197;false;true;true;4,77;0;3,19
143;0,28;3,01;197;false;true;true;4,83;0;3,33
144;0,28;3,05;197;false;true;true;4,96;0;3,54
145;0,28;3,32;196;false;true;true;4,7;0;2,91
146;0,28;3,26;196;false;true;true;4,67;0;3,12
147;0,28;3,23;195;false;true;true;4,31;0;2,41
148;0,28;2,98;195;false;true;true;4,15;0;2,46
149;0,28;2,81;195;false;true;true;4,08;0;2,51
150;0,28;2,7;195;false;true;true;4,07;0;2,56
151;0,28;2,62;195;false;true;true;4,14;0;2,62
152;0,29;2,55;195;false;true;true;4,2;0;2,68
153;0,29;2,5;195;false;true;true;4,25;0;2,74
154;0,29;2,48;195;false;true;true;4,31;0;2,83
155;0,29;2,49;195;false;true;true;4,37;0;2,95
156;0,29;2,58;195;false;true;true;4,46;0;3,14
157;0,29;2,55;194;false;true;true;4,17;0;2,45
158;0,29;2,41;194;false;true;true;4,05;0;2,49
159;0,29;2,32;194;false;true;true;3,99;0;2,52
160;0,29;2,26;194;false;true;true;3,96;0;2,56
161;0,29;2,2;194;false;true;true;3,99;0;2,59
162;0,3;2,16;194;false;true;true;4,03;0;2,63
163;0,3;2,12;194;false;true;true;4,07;0;2,67
164;0,3;2,09;194;false;true;true;4,1;0;2,71
165;0,3;2,07;194;false;true;true;4,14;0;2,76
166;0,3;2,06;194;false;true;true;4,18;0;2,81
167;0,3;2,05;194;false;true;true;4,22;0;2,88
168;0,3;2,07;194;false;true;true;4,27;0;2,96
169;0,3;2,12;194;false;true;true;4,33;0;3,09
170;0,3;2,25;194;false;true;true;4,43;0;3,3
171;0,31;2,31;193;false;true;true;4,11;0;2,53
172;0,31;2,16;193;false;true;true;3,95;0;2,57
173;0,31;2,08;193;false;true;true;3,88;0;2,61
174;0,31;2,03;193;false;true;true;3,87;0;2,66
175;0,31;2,01;193;false;true;true;3,93;0;2,71
176;0,31;2;193;false;true;true;3,99;0;2,78
177;0,31;2,01;193;false;true;true;4,05;0;2,86
178;0,31;2,05;193;false;true;true;4,12;0;2,98
179;0,31;2,18;193;false;true;true;4,22;0;3,19
180;0,31;2,13;192;false;true;true;3,86;0;2,41
181;0,32;2,01;192;false;true;true;3,75;0;2,44
182;0,32;1,94;192;false;true;true;3,69;0;2,47
183;0,32;1,88;192;false;true;true;3,67;0;2,5
184;0,32;1,84;192;false;true;true;3,69;0;2,52
185;0,32;1,8;192;false;true;true;3,73;0;2,55
186;0,32;1,77;192;false;true;true;3,76;0;2,57
187;0,32;1,74;192;false;true;true;3,78;0;2,6
188;0,32;1,71;192;false;true;true;3,8;0;2,62
189;0,32;1,69;192;false;true;true;3,83;0;2,65
190;0,32;1,67;192;false;true;true;3,84;0;2,68
191;0,33;1,65;192;false;true;true;3,86;0;2,71
192;0,33;1,64;192;false;true;true;3,89;0;2,75
193;0,33;1,63;192;false;true;true;3,91;0;2,79
194;0,33;1,62;192;false;true;true;3,94;0;2,83
195;0,33;1,63;192;false;true;true;3,97;0;2,88
196;0,33;1,64;192;false;true;true;4,01;0;2,95
197;0,33;1,67;192;false;true;true;4,06;0;3,04
198;0,33;1,73;192;false;true;true;4,12;0;3,16
199;0,33;2,03;191;false;true;true;3,93;0;2,53
200;0,34;1,83;191;false;true;true;3,73;0;2,57
201;0,34;1,74;191;false;true;true;3,64;0;2,61
202;0,34;1,69;191;false;true;true;3,61;0;2,65
203;0,34;1,66;191;false;true;true;3,67;0;2,69
204;0,34;1,65;191;false;true;true;3,72;0;2,74
205;0,34;1,66;191;false;true;true;3,78;0;2,81
206;0,34;1,68;191;false;true;true;3,83;0;2,89
207;0,34;1,75;191;false;true;true;3,9;0;3,03
208;0,34;1,86;190;false;true;true;3,61;0;2,37
209;0,34;1,73;190;false;true;true;3,49;0;2,39
210;0,34;1,65;190;false;true;true;3,41;0;2,41
211;0,35;1,59;190;false;true;true;3,38;0;2,43
212;0,35;1,54;190;false;true;true;3,4;0;2,45
213;0,35;1,5;190;false;true;true;3,43;0;2,46
214;0,35;1,46;190;false;true;true;3,45;0;2,48
215;0,35;1,43;190;false;true;true;3,47;0;2,5
216;0,35;1,4;190;false;true;true;3,48;0;2,51
217;0,35;1,37;190;false;true;true;3,49;0;2,53
218;0,35;1,35;190;false;true;true;3,5;0;2,54
219;0,35;1,32;190;false;true;true;3,51;0;2,56
220;0,35;1,3;190;false;true;true;3,51;0;2,57
221;0,36;1,28;190;false;true;true;3,52;0;2,59
222;0,36;1,26;190;false;true;true;3,53;0;2,61
223;0,36;1,24;190;false;true;true;3,53;0;2,62
224;0,36;1,23;190;false;true;true;3,54;0;2,64
225;0,36;1,21;190;false;true;true;3,54;0;2,65
226;0,36;1,19;190;false;true;true;3,55;0;2,67
227;0,36;1,18;190;false;true;true;3,56;0;2,69
228;0,36;1,17;190;false;true;true;3,57;0;2,71
229;0,36;1,16;190;false;true;true;3,58;0;2,72
230;0,37;1,15;190;false;true;true;3,59;0;2,74
231;0,37;1,14;190;false;true;true;3,6;0;2,76
232;0,37;1,13;190;false;true;true;3,61;0;2,79
233;0,37;1,12;190;false;true;true;3,62;0;2,81
234;0,37;1,12;190;false;true;true;3,64;0;2,83
235;0,37;1,12;190;false;true;true;3,66;0;2,86
236;0,37;1,12;190;false;true;true;3,68;0;2,89
237;0,37;1,12;190;false;true;true;3,69;0;2,92
238;0,37;1,12;190;false;true;true;3,72;0;2,96
239;0,37;1,13;190;false;true;true;3,75;0;3
240;0,38;1,14;190;false;true;true;3,78;0;3,05
241;0,38;1,16;190;false;true;true;3,82;0;3,1
242;0,38;1,19;190;false;true;true;3,87;0;3,18
243;0,38;1,25;190;false;true;true;3,93;0;3,27
244;0,38;1,33;190;false;true;true;4,01;0;3,41
245;0,38;1,69;189;false;true;true;3,77;0;2,78
246;0,38;1,56;189;false;true;true;3,61;0;2,88
247;0,38;1,58;189;false;true;true;3,58;0;3,03
248;0,38;1,63;188;false;true;true;3,18;0;2,29
249;0,38;1,49;188;false;true;true;3,1;0;2,31
250;0,38;1,41;188;false;true;true;3,06;0;2,32
251;0,39;1,34;188;false;true;true;3,05;0;2,34
252;0,39;1,29;188;false;true;true;3,09;0;2,35
253;0,39;1,24;188;false;true;true;3,12;0;2,36
254;0,39;1,21;188;false;true;true;3,14;0;2,37
255;0,39;1,17;188;false;true;true;3,15;0;2,38
256;0,39;1,14;188;false;true;true;3,16;0;2,39
257;0,39;1,1;188;false;true;true;3,16;0;2,4
