lengthMiddleSegment: 134509.82
step_energy: 0.05
electrostatic_force_factor: 1.0
spring_force_factor: 0.1
reject_force_factor: 2.0
distanceRejectRadius: 33628.455
distanceSamePosition: 33627.455
Iteration;time;energy;num nodes;reject force is enabled;spring force is enabled;electrostatic force is enabled;str_force;rep_force;elec_force
1;5,94;3551,48;912;true;true;true;0;572,7;0
2;0,1;1922,54;825;true;true;true;0;320,69;0
3;0,17;1398,22;754;true;true;true;0;261,91;0
4;0,21;1072,51;730;true;true;true;0;232,29;0
5;0,25;1011,82;714;true;true;true;0;222,6;0
6;0,29;1012,49;702;true;true;true;0;216,45;0
7;0,33;868,64;697;true;true;true;0;194;0
8;0,37;792,21;691;true;true;true;0;179,15;0
9;0,41;780,83;684;true;true;true;0;162,78;0
10;0,45;772,01;680;true;true;true;0;173,35;0
11;0,48;718,64;672;true;true;true;0;178,25;0
12;0,52;767,14;665;true;true;true;0;153,71;0
13;0,55;619,47;661;true;true;true;0;159,39;0
14;0,59;647,22;658;true;true;true;0;159,91;0
15;0,62;531,26;656;true;true;true;0;147,29;0
16;0,66;602,23;652;true;true;true;0;157,9;0
17;0,69;552,75;650;true;true;true;0;148,92;0
18;0,73;540,53;650;true;true;true;0;144,59;0
19;0,76;504,43;648;true;true;true;0;137,84;0
20;0,8;579,97;647;true;true;true;0;136,8;0
21;0,83;550,52;646;true;true;true;0;133,33;0
22;0,87;573,87;646;true;true;true;0;128,83;0
23;0,9;441,44;644;true;true;true;0;118,34;0
24;0,94;485,24;641;true;true;true;0;123,15;0
25;0,97;393,39;635;true;true;true;0;112,04;0
26;1;415;632;true;true;true;0;105,62;0
27;1,04;426,32;630;true;true;true;0;120,51;0
28;1,07;394,99;624;true;true;true;0;114,05;0
29;1,1;444,76;620;true;true;true;0;112,7;0
30;1,13;399,85;618;true;true;true;0;119,62;0
31;1,17;435,01;616;true;true;true;0;111,31;0
32;1,2;419,7;612;true;true;true;0;119,04;0
33;1,23;408,24;610;true;true;true;0;119,63;0
34;1,26;381,08;606;true;true;true;0;104,53;0
