lengthMiddleSegment: 287291.06
step_energy: 0.05
electrostatic_force_factor: 1.0
spring_force_factor: 0.1
reject_force_factor: 2.0
distanceRejectRadius: 71822.765
distanceSamePosition: 71822.765
Iteration;time;energy;num nodes;reject force is enabled;spring force is enabled;electrostatic force is enabled;str_force;rep_force;elec_force
1;0,19;34,49;199;true;true;true;0;28,06;0
2;0;15,33;199;true;true;true;0;11,89;0
3;0,01;18,53;199;true;true;true;0;15,54;0
4;0,02;16,81;199;true;true;true;0;14,77;0
5;0,02;19,96;199;true;true;true;0;15,7;0
6;0,03;16,88;199;true;true;true;0;13,95;0
7;0,03;23,04;199;true;true;true;0;16,49;0
8;0,03;18,87;199;true;true;true;0;16,89;0
9;0,03;25,9;199;true;true;true;0;17,5;0
10;0,04;19,57;199;true;true;true;0;17,58;0
11;0,04;22,09;199;true;true;true;0;16,88;0
12;0,04;18,47;199;true;true;true;0;16,19;0
13;0,04;26,31;199;true;true;true;0;17,53;0
14;0,04;19,73;199;true;true;true;0;17,73;0
15;0,05;21,57;199;true;true;true;0;16,73;0
16;0,05;18,22;199;true;true;true;0;12,78;0
17;0,05;26,17;199;true;true;true;0;17,41;0
18;0,05;19,72;199;true;true;true;0;17,71;0
19;0,05;21,82;199;true;true;true;0;16,78;0
20;0,06;18,39;199;true;true;true;0;12,65;0
21;0,06;26,29;199;true;true;true;0;17,49;0
22;0,06;19,75;199;true;true;true;0;17,73;0
23;0,06;21,61;199;true;true;true;0;16,73;0
24;0,06;18,26;199;true;true;true;0;12,75;0
25;0,07;26,19;199;true;true;true;0;17,42;0
26;0,07;19,74;199;true;true;true;0;17,71;0
27;0,07;21,8;199;true;true;true;0;16,77;0
28;0,07;18,38;199;true;true;true;0;12,66;0
29;0,07;26,28;199;true;true;true;0;17,48;0
30;0,08;19,77;199;true;true;true;0;17,73;0
31;0,08;21,66;199;true;true;true;0;16,74;0
32;0,08;18,3;199;true;true;true;0;12,74;0
33;0,08;26,22;199;true;true;true;0;17,44;0
34;0,08;19,76;199;true;true;true;0;17,72;0
35;0,09;21,79;199;true;true;true;0;16,77;0
36;0,09;18,38;199;true;true;true;0;12,68;0
37;0,09;26,29;199;true;true;true;0;17,48;0
38;0,09;19,78;199;true;true;true;0;17,73;0
39;0,09;21,69;199;true;true;true;0;16,75;0
40;0,1;18,32;199;true;true;true;0;12,73;0
41;0,1;26,24;199;true;true;true;0;17,45;0
42;0,1;19,78;199;true;true;true;0;17,72;0
43;0,1;21,78;199;true;true;true;0;16,77;0
44;0,1;18,39;199;true;true;true;0;12,69;0
45;0,11;26,29;199;true;true;true;0;17,47;0
46;0,11;19,79;199;true;true;true;0;17,73;0
47;0,11;21,72;199;true;true;true;0;16,76;0
48;0,11;18,35;199;true;true;true;0;12,73;0
49;0,11;26,26;199;true;true;true;0;17,45;0
50;0,12;19,79;199;true;true;true;0;17,73;0
51;0,12;21,79;199;true;true;true;0;16,77;0
52;0,12;18,39;199;true;true;true;0;12,7;0
53;0,12;26,3;199;true;true;true;0;17,47;0
54;0,12;19,81;199;true;true;true;0;17,73;0
55;0,13;21,74;199;true;true;true;0;16,76;0
56;0,13;18,37;199;true;true;true;0;12,73;0
57;0,13;26,28;199;true;true;true;0;17,46;0
58;0,13;19,81;199;true;true;true;0;17,73;0
59;0,13;21,79;199;true;true;true;0;16,77;0
