lengthMiddleSegment: 287329.7
step_energy: 0.05
electrostatic_force_factor: 1.0
spring_force_factor: 0.1
reject_force_factor: 2.0
distanceRejectRadius: 71832.425
distanceSamePosition: 71832.425
Iteration;time;energy;num nodes;reject force is enabled;spring force is enabled;electrostatic force is enabled;str_force;rep_force;elec_force
1;0;14;198;true;true;true;0;4,14;0
2;0;33,18;198;true;true;true;0;10,77;0
3;0,01;50,08;198;true;true;true;0;9,95;0
4;0,01;27,31;198;true;true;true;0;9,1;0
5;0,01;11,12;198;true;true;true;0;3,37;0
6;0,02;62,26;198;true;true;true;0;16,14;0
7;0,02;9,67;198;true;true;true;0;3,22;0
8;0,03;38,62;198;true;true;true;0;12,1;0
9;0,03;33,91;198;true;true;true;0;7,03;0
10;0,03;43,33;198;true;true;true;0;12,65;0
11;0,03;9,33;198;true;true;true;0;3,11;0
12;0,04;64,84;198;true;true;true;0;15,46;0
13;0,04;13,59;198;true;true;true;0;3,14;0
14;0,04;34,68;198;true;true;true;0;11,56;0
15;0,05;39,12;198;true;true;true;0;7,83;0
16;0,05;33,42;198;true;true;true;0;9,71;0
17;0,05;15,24;198;true;true;true;0;5,08;0
18;0,06;55,68;198;true;true;true;0;14,18;0
19;0,06;17,71;198;true;true;true;0;4,56;0
20;0,06;35,69;198;true;true;true;0;11,87;0
21;0,07;31,35;198;true;true;true;0;6,35;0
22;0,07;43,79;198;true;true;true;0;12,61;0
23;0,07;8,94;198;true;true;true;0;2,98;0
24;0,08;69,03;198;true;true;true;0;16,43;0
25;0,08;12,77;198;true;true;true;0;3;0
26;0,08;31,35;198;true;true;true;0;10,45;0
27;0,09;32,28;198;true;true;true;0;6,84;0
28;0,09;36,94;198;true;true;true;0;10,91;0
29;0,09;31,24;198;true;true;true;0;6,46;0
30;0,1;36,43;198;true;true;true;0;11,8;0
31;0,1;15,28;198;true;true;true;0;3,71;0
32;0,1;67,02;198;true;true;true;0;16,71;0
33;0,1;5,93;198;true;true;true;0;1,98;0
34;0,11;37,94;198;true;true;true;0;11,25;0
35;0,11;41,93;198;true;true;true;0;8,93;0
36;0,12;28,16;198;true;true;true;0;9,39;0
37;0,12;22,79;198;true;true;true;0;5,69;0
38;0,12;51,91;198;true;true;true;0;13,45;0
39;0,12;15,81;198;true;true;true;0;4,43;0
40;0,13;37,8;198;true;true;true;0;11,19;0
41;0,13;40,31;198;true;true;true;0;8,62;0
42;0,13;29,33;198;true;true;true;0;9,78;0
43;0,14;24,95;198;true;true;true;0;5,74;0
44;0,14;48,84;198;true;true;true;0;12,99;0
45;0,14;9,55;198;true;true;true;0;3,18;0
46;0,15;51,18;198;true;true;true;0;14,37;0
47;0,15;13,03;198;true;true;true;0;3,22;0
48;0,15;54,58;198;true;true;true;0;14,82;0
49;0,16;14,76;198;true;true;true;0;3,63;0
50;0,16;48,91;198;true;true;true;0;12,74;0
51;0,16;12,89;198;true;true;true;0;3,63;0
52;0,17;55,11;198;true;true;true;0;13,74;0
53;0,17;13,57;198;true;true;true;0;4,52;0
54;0,17;43,17;198;true;true;true;0;12;0
55;0,17;20,17;198;true;true;true;0;4,86;0
56;0,18;59,95;198;true;true;true;0;15,13;0
57;0,18;19,77;198;true;true;true;0;5,08;0
58;0,19;32,45;198;true;true;true;0;9,54;0
59;0,19;25,13;198;true;true;true;0;5,82;0
60;0,19;35,51;198;true;true;true;0;11,24;0
61;0,19;41,64;198;true;true;true;0;8,15;0
62;0,2;35,69;198;true;true;true;0;11,29;0
63;0,2;7,65;198;true;true;true;0;2,55;0
64;0,2;69,52;198;true;true;true;0;16,94;0
65;0,21;5,95;198;true;true;true;0;1,98;0
66;0,21;37,61;198;true;true;true;0;12,21;0
67;0,21;41,48;198;true;true;true;0;7,71;0
68;0,22;41,5;198;true;true;true;0;12,2;0
69;0,22;5,91;198;true;true;true;0;1,97;0
70;0,22;57,16;198;true;true;true;0;14,52;0
71;0,22;17,64;198;true;true;true;0;4,88;0
72;0,23;37,16;198;true;true;true;0;10,18;0
