lengthMiddleSegment: 52244.615
step_energy: 0.05
electrostatic_force_factor: 1.0
spring_force_factor: 0.1
reject_force_factor: 2.0
distanceRejectRadius: 13061.15375
distanceSamePosition: 13061.15375
Iteration;time;energy;num nodes;reject force is enabled;spring force is enabled;electrostatic force is enabled;str_force;rep_force;elec_force
1;0;18,3;497;false;true;true;7,67;0;10,71
2;0,03;20,77;478;false;true;true;8,89;0;13,07
3;0,06;20,84;461;false;true;true;11,06;0;11,61
4;0,06;20,06;447;false;true;true;10,61;0;11,58
5;0,07;19,03;433;false;true;true;10,35;0;10,21
6;0,07;19,46;420;false;true;true;9,93;0;11,42
7;0,07;17,82;406;false;true;true;9,96;0;10,39
8;0,07;16,66;396;false;true;true;9,98;0;9,34
9;0,08;15,79;390;false;true;true;9,43;0;9,31
10;0,08;14,46;382;false;true;true;9,52;0;7,24
11;0,08;14,36;380;false;true;true;8,86;0;9,1
12;0,08;14,63;374;false;true;true;10,42;0;8,85
13;0,09;13,77;369;false;true;true;9,49;0;8,03
14;0,09;13,46;364;false;true;true;10,29;0;7,56
15;0,09;12,7;360;false;true;true;9,46;0;6,63
16;0,09;12,46;358;false;true;true;9,42;0;7,42
17;0,1;12,06;355;false;true;true;9,26;0;6,79
18;0,1;11,82;353;false;true;true;8,84;0;6,58
19;0,1;11,91;350;false;true;true;9,13;0;6,07
20;0,1;11,63;347;false;true;true;8,99;0;5,53
21;0,11;11,32;344;false;true;true;8,3;0;4,73
22;0,11;10,73;343;false;true;true;8,14;0;5,14
23;0,11;10,97;342;false;true;true;8,61;0;5,69
24;0,11;10,83;339;false;true;true;8,72;0;4,89
25;0,11;10,38;338;false;true;true;8,59;0;5,27
26;0,12;10,32;338;false;true;true;8,92;0;6,35
27;0,12;10,88;337;false;true;true;9,5;0;7,03
28;0,12;11,72;333;false;true;true;9,75;0;5,73
29;0,12;10,57;331;false;true;true;8,75;0;5,07
30;0,12;10,34;331;false;true;true;8,63;0;6,01
31;0,13;10,64;330;false;true;true;9,21;0;6,57
32;0,13;10,73;328;false;true;true;9,59;0;6,43
33;0,13;10,74;325;false;true;true;9,6;0;5,36
34;0,13;10,28;324;false;true;true;9;0;5,53
35;0,13;10,37;324;false;true;true;9,12;0;6,64
36;0,14;11,25;320;false;true;true;9,29;0;5,01
37;0,14;10,79;319;false;true;true;9,04;0;5,42
38;0,14;10,7;318;false;true;true;9;0;5,72
39;0,14;10,69;316;false;true;true;8,89;0;5,32
40;0,14;10,15;315;false;true;true;8,77;0;5,39
41;0,15;10,2;314;false;true;true;8,92;0;5,67
42;0,15;10,16;312;false;true;true;8,49;0;4,92
43;0,15;10,08;311;false;true;true;8,59;0;5,14
44;0,15;10,06;311;false;true;true;8,76;0;6,19
45;0,15;10,34;308;false;true;true;8,97;0;5,29
46;0,16;10,32;306;false;true;true;8,74;0;4,73
47;0,16;10,12;305;false;true;true;8,26;0;4,92
48;0,16;9,48;304;false;true;true;8,01;0;4,58
49;0,16;9,42;303;false;true;true;8,26;0;4,55
50;0,16;9,34;303;false;true;true;8,56;0;5,34
51;0,17;9,45;301;false;true;true;8,93;0;4,91
52;0,17;9,16;299;false;true;true;8,3;0;3,86
53;0,17;8,72;299;false;true;true;8,02;0;4,31
54;0,17;8,59;299;false;true;true;8,24;0;4,85
55;0,17;8,78;298;false;true;true;8,67;0;4,86
56;0,18;8,74;298;false;true;true;8,95;0;5,58
57;0,18;8,92;297;false;true;true;9,22;0;5,67
58;0,18;9,21;296;false;true;true;9,21;0;5,67
59;0,18;9,35;294;false;true;true;9,04;0;4,99
60;0,18;9,31;293;false;true;true;8,65;0;4,95
61;0,19;9,14;292;false;true;true;8,51;0;4,97
62;0,19;9,25;291;false;true;true;8,7;0;5,02
63;0,19;9,24;290;false;true;true;8,76;0;5,08
64;0,19;8,8;288;false;true;true;8,27;0;4,05
65;0,19;8,62;288;false;true;true;8,19;0;4,57
66;0,19;8,69;287;false;true;true;8,41;0;4,57
67;0,2;8,67;286;false;true;true;8,38;0;4,29
68;0,2;8,46;286;false;true;true;8,38;0;4,83
69;0,2;8,68;285;false;true;true;8,65;0;4,89
70;0,2;8,45;284;false;true;true;8,48;0;4,6
71;0,2;8,57;283;false;true;true;8,35;0;4,31
72;0,2;8,25;283;false;true;true;8,36;0;4,77
73;0,2;8,27;283;false;true;true;8,76;0;5,37
74;0,21;8,5;282;false;true;true;9,09;0;5,43
75;0,21;8,93;280;false;true;true;8,91;0;4,57
76;0,21;8,71;279;false;true;true;8,5;0;4,38
77;0,21;8,46;279;false;true;true;8,42;0;4,9
78;0,21;8,45;278;false;true;true;8,44;0;4,66
79;0,21;8,08;277;false;true;true;8,52;0;4,37
80;0,21;7,94;277;false;true;true;8,53;0;4,77
81;0,22;7,94;277;false;true;true;8,86;0;5,26
82;0,22;8,17;277;false;true;true;9,31;0;5,98
83;0,22;8,4;275;false;true;true;9,29;0;5,19
84;0,23;8,4;274;false;true;true;9,02;0;4,97
85;0,23;8,22;274;false;true;true;8,92;0;5,53
86;0,23;8,43;274;false;true;true;9,26;0;6,34
87;0,23;8,48;271;false;true;true;8,72;0;4,41
88;0,23;8,17;271;false;true;true;8,62;0;4,93
89;0,23;8,13;270;false;true;true;8,26;0;4,34
90;0,23;8,07;270;false;true;true;8,51;0;4,92
91;0,23;8,49;268;false;true;true;8,42;0;4,17
92;0,23;8,2;267;false;true;true;7,95;0;3,88
93;0,23;8,31;266;false;true;true;7,83;0;3,61
94;0,24;7,9;266;false;true;true;7,67;0;3,97
95;0,24;7,75;266;false;true;true;7,87;0;4,4
96;0,24;7,89;265;false;true;true;8,07;0;4,22
97;0,24;7,56;264;false;true;true;8,04;0;3,9
98;0,24;7,44;264;false;true;true;7,97;0;4,29
99;0,24;7,51;264;false;true;true;8,22;0;4,85
100;0,24;7,72;263;false;true;true;8,29;0;4,73
101;0,24;7,58;261;false;true;true;7,62;0;3,61
102;0,25;7,28;261;false;true;true;7,46;0;3,99
103;0,25;7,44;260;false;true;true;7,52;0;3,68
104;0,25;7,09;260;false;true;true;7,47;0;4,02
105;0,25;7;260;false;true;true;7,66;0;4,47
106;0,25;7,34;259;false;true;true;7,69;0;4,14
107;0,25;7,1;258;false;true;true;7,38;0;3,7
108;0,25;6,85;258;false;true;true;7,38;0;4,05
109;0,26;6,85;258;false;true;true;7,61;0;4,51
110;0,26;7,06;257;false;true;true;7,54;0;4,2
111;0,26;6,98;256;false;true;true;7,33;0;3,87
112;0,26;7,04;255;false;true;true;7,09;0;3,5
113;0,26;6,72;255;false;true;true;6,96;0;3,84
114;0,26;6,74;254;false;true;true;6,92;0;3,35
115;0,26;6,37;254;false;true;true;6,89;0;3,57
116;0,26;6,17;254;false;true;true;7,03;0;3,82
117;0,26;6,08;254;false;true;true;7,28;0;4,1
118;0,26;6,09;254;false;true;true;7,58;0;4,46
119;0,27;6,28;254;false;true;true;7,93;0;5,02
120;0,27;6,25;252;false;true;true;7,5;0;3,74
121;0,27;6,15;251;false;true;true;7,05;0;3,32
122;0,27;5,88;251;false;true;true;6,86;0;3,52
123;0,27;5,72;251;false;true;true;6,85;0;3,74
124;0,27;5,65;251;false;true;true;7;0;4,01
125;0,27;5,92;250;false;true;true;7,08;0;3,55
126;0,27;5,61;250;false;true;true;6,97;0;3,74
127;0,27;5,47;250;false;true;true;7,01;0;3,94
128;0,28;5,41;250;false;true;true;7,18;0;4,18
129;0,28;5,43;250;false;true;true;7,42;0;4,48
130;0,28;5,71;249;false;true;true;7,32;0;4,08
131;0,28;5,71;249;false;true;true;7,34;0;4,41
132;0,28;5,81;248;false;true;true;7,22;0;4,09
133;0,28;5,95;247;false;true;true;6,83;0;3,44
134;0,28;5,61;247;false;true;true;6,63;0;3,63
135;0,28;5,48;247;false;true;true;6,73;0;3,83
136;0,28;5,46;247;false;true;true;6,96;0;4,1
137;0,28;5,69;246;false;true;true;7,01;0;3,58
138;0,28;5,41;246;false;true;true;6,9;0;3,74
139;0,29;5,27;246;false;true;true;6,93;0;3,9
140;0,29;5,19;246;false;true;true;7,07;0;4,09
141;0,29;5,16;246;false;true;true;7,26;0;4,3
142;0,29;5,18;246;false;true;true;7,47;0;4,56
143;0,29;5,3;246;false;true;true;7,72;0;4,92
144;0,29;5,46;245;false;true;true;7,64;0;4,58
145;0,29;5,63;244;false;true;true;7,21;0;4,03
146;0,29;5,47;244;false;true;true;7,09;0;4,33
147;0,29;5,45;243;false;true;true;6,76;0;3,8
148;0,29;5,31;243;false;true;true;6,82;0;4,05
149;0,3;5,37;243;false;true;true;7,06;0;4,42
150;0,3;5,53;242;false;true;true;6,98;0;3,87
151;0,3;5,45;242;false;true;true;6,96;0;4,19
152;0,3;5,73;241;false;true;true;6,55;0;3,7
153;0,3;5,41;240;false;true;true;6,22;0;3,03
154;0,3;5,27;240;false;true;true;6,22;0;3,18
155;0,3;5,18;240;false;true;true;6,29;0;3,35
156;0,3;5,17;240;false;true;true;6,42;0;3,58
157;0,3;5,17;239;false;true;true;6,22;0;3,02
158;0,31;4,99;239;false;true;true;6,15;0;3,13
159;0,31;4,88;239;false;true;true;6,14;0;3,25
160;0,31;4,8;239;false;true;true;6,23;0;3,38
161;0,31;4,76;239;false;true;true;6,36;0;3,53
162;0,31;4,79;239;false;true;true;6,52;0;3,74
163;0,31;5,02;238;false;true;true;6,45;0;3,14
164;0,31;4,75;238;false;true;true;6,27;0;3,23
165;0,31;4,6;238;false;true;true;6,22;0;3,33
166;0,31;4,51;238;false;true;true;6,28;0;3,43
167;0,31;4,44;238;false;true;true;6,39;0;3,54
168;0,31;4,4;238;false;true;true;6,5;0;3,66
169;0,32;4,39;238;false;true;true;6,61;0;3,81
170;0,32;4,43;238;false;true;true;6,74;0;4,01
171;0,32;4,56;237;false;true;true;6,56;0;3,5
172;0,32;4,5;237;false;true;true;6,44;0;3,62
173;0,32;4,44;237;false;true;true;6,44;0;3,76
174;0,32;4,43;237;false;true;true;6,54;0;3,93
175;0,32;4,48;237;false;true;true;6,7;0;4,16
176;0,33;4,67;237;false;true;true;6,91;0;4,54
177;0,33;5,1;235;false;true;true;6,27;0;3,08
178;0,33;4,71;235;false;true;true;6,01;0;3,16
179;0,33;4,49;235;false;true;true;5,94;0;3,23
180;0,33;4,35;235;false;true;true;6;0;3,31
181;0,33;4,24;235;false;true;true;6,12;0;3,39
182;0,33;4,15;235;false;true;true;6,22;0;3,48
183;0,33;4,1;235;false;true;true;6,32;0;3,57
184;0,34;4,07;235;false;true;true;6,41;0;3,69
185;0,34;4,07;235;false;true;true;6,51;0;3,83
186;0,34;4,13;235;false;true;true;6,63;0;4,03
187;0,34;4,33;234;false;true;true;6,29;0;3,43
188;0,34;4,16;234;false;true;true;6,25;0;3,54
189;0,34;4,07;234;false;true;true;6,26;0;3,67
190;0,34;4,06;234;false;true;true;6,37;0;3,85
191;0,34;4,4;233;false;true;true;6,38;0;3,31
192;0,34;4,13;233;false;true;true;6,19;0;3,4
193;0,34;3,99;233;false;true;true;6,14;0;3,49
194;0,34;3,92;233;false;true;true;6,19;0;3,59
195;0,35;3,88;233;false;true;true;6,3;0;3,71
196;0,35;3,87;233;false;true;true;6,42;0;3,83
197;0,35;3,89;233;false;true;true;6,54;0;4
198;0,35;3,97;233;false;true;true;6,68;0;4,22
199;0,35;4,1;232;false;true;true;6,56;0;3,76
200;0,35;4,03;232;false;true;true;6,51;0;3,92
201;0,35;4,02;232;false;true;true;6,54;0;4,11
202;0,35;4,1;232;false;true;true;6,69;0;4,37
203;0,35;4,49;231;false;true;true;6,5;0;3,92
204;0,35;4,45;230;false;true;true;6,03;0;3,3
205;0,36;4,3;230;false;true;true;5,97;0;3,48
206;0,36;4,59;229;false;true;true;5,93;0;2,96
207;0,36;4,28;229;false;true;true;5,73;0;3,06
208;0,36;4,12;229;false;true;true;5,7;0;3,17
209;0,36;4,04;229;false;true;true;5,76;0;3,29
210;0,36;4,02;229;false;true;true;5,9;0;3,45
211;0,36;4,11;229;false;true;true;6,06;0;3,72
212;0,36;4,01;228;false;true;true;5,77;0;3,02
213;0,36;3,86;228;false;true;true;5,68;0;3,1
214;0,37;3,76;228;false;true;true;5,66;0;3,18
215;0,37;3,68;228;false;true;true;5,72;0;3,26
216;0,37;3,62;228;false;true;true;5,81;0;3,34
217;0,37;3,58;228;false;true;true;5,9;0;3,43
218;0,37;3,56;228;false;true;true;5,99;0;3,53
219;0,37;3,56;228;false;true;true;6,09;0;3,65
220;0,37;3,58;228;false;true;true;6,2;0;3,8
221;0,37;3,65;228;false;true;true;6,33;0;4
222;0,37;4,03;227;false;true;true;6,28;0;3,46
223;0,37;3,85;227;false;true;true;6,1;0;3,61
224;0,38;3,85;227;false;true;true;6,09;0;3,83
225;0,38;3,85;226;false;true;true;5,82;0;3,23
226;0,38;3,7;226;false;true;true;5,74;0;3,31
227;0,38;3,61;226;false;true;true;5,73;0;3,4
228;0,38;3,54;226;false;true;true;5,79;0;3,49
229;0,38;3,49;226;false;true;true;5,89;0;3,59
230;0,38;3,47;226;false;true;true;6;0;3,7
231;0,38;3,48;226;false;true;true;6,11;0;3,83
