lengthMiddleSegment: 85727.35
step_energy: 0.05
electrostatic_force_factor: 1.0
spring_force_factor: 0.1
reject_force_factor: 2.0
distanceRejectRadius: 21431.8375
distanceSamePosition: 21431.8375
Iteration;time;energy;num nodes;reject force is enabled;spring force is enabled;electrostatic force is enabled;str_force;rep_force;elec_force
1;0;46,94;1470;false;true;true;16,86;0;30,34
2;0,03;54,87;1424;false;true;true;18,83;0;37,74
3;0,17;53,59;1374;false;true;true;18,63;0;36,54
4;0,18;53,64;1316;false;true;true;17,82;0;36,96
5;0,19;50,11;1260;false;true;true;17,8;0;33,68
6;0,19;51,78;1208;false;true;true;17,27;0;36,74
7;0,2;51,2;1154;false;true;true;17,55;0;35,95
8;0,21;49,73;1100;false;true;true;17,94;0;34,26
9;0,22;48,35;1039;false;true;true;17,96;0;32,9
10;0,22;45,37;1002;false;true;true;16,63;0;30,69
11;0,23;43,88;959;false;true;true;18,01;0;28,74
12;0,23;44,18;925;false;true;true;17,43;0;30,04
13;0,24;41,22;886;false;true;true;16,8;0;27,7
14;0,24;38,86;853;false;true;true;15,61;0;25,64
15;0,25;36,81;821;false;true;true;15,94;0;23,11
16;0,25;35,08;799;false;true;true;15,28;0;22,8
17;0,26;33,86;777;false;true;true;14,91;0;22,04
18;0,26;32,55;758;false;true;true;14,6;0;20,95
19;0,27;31,52;740;false;true;true;14,77;0;21,05
20;0,27;31,79;722;false;true;true;15,08;0;21,58
21;0,27;27,99;701;false;true;true;14,95;0;17,29
22;0,28;26,32;687;false;true;true;14,49;0;15,04
23;0,28;24,58;678;false;true;true;13,75;0;13,67
24;0,28;25,55;671;false;true;true;13,36;0;15,37
25;0,28;24,04;659;false;true;true;14,1;0;12,76
26;0,29;23,95;652;false;true;true;13,21;0;13,79
27;0,29;24,05;646;false;true;true;12,85;0;15,02
28;0,29;24,3;638;false;true;true;13,85;0;15,33
29;0,29;23,76;628;false;true;true;14,24;0;13,94
30;0,3;23,73;623;false;true;true;13,63;0;15,16
31;0,3;22,79;613;false;true;true;13,61;0;12,93
32;0,3;22,99;607;false;true;true;12,99;0;13,37
33;0,31;22,38;599;false;true;true;13,51;0;12,74
34;0,31;22,61;594;false;true;true;13,08;0;13,44
35;0,31;22,32;587;false;true;true;12,72;0;12,85
36;0,31;22,48;583;false;true;true;12,75;0;13,96
37;0,32;21,43;574;false;true;true;13,15;0;11,9
38;0,32;20,88;570;false;true;true;12,4;0;12,27
39;0,32;19,79;564;false;true;true;12,18;0;11,48
40;0,32;20,46;560;false;true;true;12,13;0;12,24
41;0,32;19,69;554;false;true;true;12,51;0;11,61
42;0,33;19,68;549;false;true;true;12,3;0;11,6
43;0,33;19,68;543;false;true;true;12,42;0;11,16
44;0,33;19,8;540;false;true;true;12,53;0;12,38
45;0,33;17,95;533;false;true;true;12,95;0;10,33
46;0,34;18,07;531;false;true;true;12,82;0;11,61
47;0,34;17,49;525;false;true;true;12,77;0;10,17
48;0,34;17,81;522;false;true;true;12,81;0;10,75
49;0,34;18,23;520;false;true;true;13,17;0;12,23
50;0,34;17,97;515;false;true;true;13,13;0;11,1
51;0,34;17,72;511;false;true;true;13,12;0;10,73
52;0,35;17,98;505;false;true;true;12,12;0;8,75
53;0,35;16,91;502;false;true;true;11,48;0;8,37
54;0,35;16,33;500;false;true;true;11,09;0;8,61
55;0,35;16,32;497;false;true;true;11,17;0;8,66
56;0,35;16,47;496;false;true;true;11,37;0;9,82
