lengthMiddleSegment: 368633.08
step_energy: 0.05
electrostatic_force_factor: 1.0
spring_force_factor: 0.1
reject_force_factor: 2.0
distanceRejectRadius: 92158.27
distanceSamePosition: 92158.27
Iteration;time;energy;num nodes;reject force is enabled;spring force is enabled;electrostatic force is enabled;str_force;rep_force;elec_force
1;0;107,29;1498;false;true;true;48,2;0;61,47
2;0,03;109,68;1411;false;true;true;51,4;0;65,91
3;0,09;102,23;1326;false;true;true;45,29;0;63,79
4;0,09;93,8;1257;false;true;true;42,93;0;57,7
5;0,1;85,3;1189;false;true;true;39,53;0;52,47
6;0,1;77,94;1134;false;true;true;36,79;0;48,71
7;0,11;72,13;1086;false;true;true;36,24;0;44,53
8;0,12;66,68;1039;false;true;true;35,19;0;38,55
9;0,12;63,83;1002;false;true;true;32,68;0;37,21
10;0,13;60,98;970;false;true;true;31,8;0;35,82
11;0,13;58,2;942;false;true;true;31,59;0;34,76
12;0,14;55,04;917;false;true;true;31,26;0;32,13
13;0,14;57,58;903;false;true;true;30,23;0;36,96
14;0,15;51,11;873;false;true;true;31,53;0;27,79
15;0,15;50,03;862;false;true;true;29,33;0;30,33
16;0,16;49,35;843;false;true;true;30,07;0;28,82
17;0,17;46,5;828;false;true;true;27,98;0;25,96
18;0,17;43,42;813;false;true;true;28,67;0;23,58
19;0,17;43,85;807;false;true;true;27,13;0;27,19
20;0,18;42,3;792;false;true;true;28,87;0;24,09
21;0,18;42,8;785;false;true;true;28,1;0;27,26
22;0,19;42,07;769;false;true;true;28,17;0;24,36
23;0,19;40,21;758;false;true;true;27,14;0;23,48
24;0,19;39,96;749;false;true;true;26,88;0;23,15
25;0,19;39,29;741;false;true;true;26,62;0;23,8
26;0,19;37,39;729;false;true;true;25,42;0;21,15
27;0,2;35,81;718;false;true;true;26,07;0;19,15
28;0,2;35,08;714;false;true;true;25,52;0;21,18
29;0,2;34,98;707;false;true;true;25,68;0;21,62
30;0,21;34,31;699;false;true;true;26,71;0;21,28
31;0,21;34,27;690;false;true;true;25,69;0;19,55
32;0,21;34,43;685;false;true;true;25,31;0;21
33;0,22;33,04;677;false;true;true;25,04;0;19,54
34;0,22;32,52;669;false;true;true;24,35;0;17,47
35;0,22;32,31;665;false;true;true;24,21;0;18,95
36;0,23;30,95;657;false;true;true;23,58;0;16,76
37;0,23;30,58;655;false;true;true;23,27;0;18,77
38;0,23;31,13;649;false;true;true;22,81;0;18,81
39;0,24;30,13;639;false;true;true;23,85;0;15,72
40;0,24;29,24;636;false;true;true;23,26;0;16,61
41;0,24;29,07;631;false;true;true;22,6;0;16,29
42;0,25;28,11;629;false;true;true;22,52;0;17,43
43;0,25;27,68;625;false;true;true;23,38;0;17,62
44;0,25;27,45;620;false;true;true;23,49;0;17,06
45;0,25;27,82;617;false;true;true;23,87;0;18,41
46;0,26;28,49;610;false;true;true;24,2;0;16,96
47;0,26;27,84;606;false;true;true;23,33;0;17,02
48;0,26;27,49;599;false;true;true;22,23;0;14,8
49;0,27;26,5;596;false;true;true;21,04;0;14,65
50;0,27;25,24;593;false;true;true;20,8;0;14,39
51;0,27;25,46;593;false;true;true;21,52;0;16,92
52;0,28;25,19;588;false;true;true;21,69;0;15,93
53;0,28;25,3;584;false;true;true;22,48;0;15,98
54;0,28;25,22;580;false;true;true;21,83;0;15,09
55;0,28;24,86;578;false;true;true;21,88;0;16,07
56;0,29;24,71;575;false;true;true;22,3;0;16,63
57;0,29;24;570;false;true;true;22,15;0;14,99
58;0,29;23,05;565;false;true;true;21,26;0;13,05
59;0,3;22,92;565;false;true;true;21,36;0;15,02
60;0,3;22,59;560;false;true;true;21,12;0;13,45
61;0,3;22;557;false;true;true;20,47;0;12,68
62;0,31;21,69;557;false;true;true;20,59;0;14,31
63;0,31;21,95;553;false;true;true;21,04;0;13,6
64;0,31;21,9;551;false;true;true;21,09;0;13,98
