lengthMiddleSegment: 303571.1
step_energy: 0.05
electrostatic_force_factor: 1.0
spring_force_factor: 0.1
reject_force_factor: 2.0
distanceRejectRadius: 75892.775
distanceSamePosition: 75892.775
Iteration;time;energy;num nodes;reject force is enabled;spring force is enabled;electrostatic force is enabled;str_force;rep_force;elec_force
1;0;29,5;573;false;true;true;15,1;0;15,08
2;0,04;28,8;555;false;true;true;15,33;0;14,88
3;0,07;27,68;539;false;true;true;14,26;0;15,81
4;0,07;25,14;526;false;true;true;13,65;0;14,01
5;0,08;21,78;515;false;true;true;12,88;0;11,75
6;0,08;21,39;509;false;true;true;12,62;0;12,94
7;0,08;20,49;499;false;true;true;12,79;0;11,38
8;0,08;19,41;492;false;true;true;12,42;0;10,78
9;0,09;19,58;486;false;true;true;12,14;0;10,97
10;0,09;19,56;480;false;true;true;12,77;0;11,59
11;0,09;19,37;475;false;true;true;11,74;0;11,44
12;0,09;17,82;467;false;true;true;11,73;0;9,44
13;0,09;17,54;465;false;true;true;11,23;0;10,68
14;0,1;17,64;460;false;true;true;11,71;0;10,58
15;0,1;17,11;454;false;true;true;11,36;0;9,16
16;0,1;16,9;452;false;true;true;11,21;0;10,28
17;0,1;16,6;448;false;true;true;11,09;0;10,26
18;0,11;15,99;444;false;true;true;11,37;0;9,69
19;0,11;15,54;440;false;true;true;11,55;0;8,91
20;0,11;15,01;436;false;true;true;11,62;0;8,24
21;0,11;14,7;434;false;true;true;10,9;0;8,92
22;0,12;15,12;433;false;true;true;11,61;0;10,41
23;0,12;15,39;429;false;true;true;12,4;0;10,08
24;0,12;15,03;425;false;true;true;12,61;0;9,45
25;0,12;14,22;422;false;true;true;11,98;0;8,67
26;0,13;14,5;422;false;true;true;11,97;0;10,39
27;0,13;15,46;419;false;true;true;12,09;0;10,45
28;0,13;14,69;414;false;true;true;11,91;0;8,44
29;0,13;14,25;413;false;true;true;11,63;0;9,17
30;0,13;14,6;412;false;true;true;11,89;0;10,35
31;0,14;14,42;408;false;true;true;11,99;0;9,16
32;0,14;14;405;false;true;true;11,67;0;8,29
33;0,14;13,87;403;false;true;true;11,6;0;8,4
34;0,14;13,28;400;false;true;true;11,52;0;7,64
35;0,14;13,13;399;false;true;true;11,48;0;8,29
36;0,15;13,06;398;false;true;true;11,72;0;8,94
37;0,15;13,55;396;false;true;true;12,09;0;9,3
38;0,15;13,84;391;false;true;true;11,91;0;7,58
39;0,15;13,65;390;false;true;true;10,84;0;8,04
40;0,15;13,09;386;false;true;true;10,51;0;6,66
41;0,16;12,52;385;false;true;true;10,2;0;6,86
42;0,16;12,53;385;false;true;true;10,47;0;7,95
43;0,16;12,95;384;false;true;true;11,07;0;8,76
44;0,16;13,32;381;false;true;true;11,62;0;8,27
45;0,16;12,7;378;false;true;true;11,41;0;7,36
46;0,17;12,59;376;false;true;true;10,71;0;7,03
47;0,17;12,09;374;false;true;true;10,18;0;6,5
48;0,17;11,99;373;false;true;true;10,16;0;6,63
49;0,17;12,34;373;false;true;true;10,6;0;7,91
50;0,17;11,74;369;false;true;true;10,6;0;5,98
51;0,18;11,31;368;false;true;true;10,35;0;5,88
52;0,18;11,2;368;false;true;true;10,32;0;6,64
53;0,18;11,5;367;false;true;true;10,34;0;6,83
54;0,18;11,29;366;false;true;true;10,67;0;6,95
55;0,18;11,22;363;false;true;true;10,71;0;5,81
56;0,19;11,05;363;false;true;true;10,58;0;6,57
57;0,19;11,19;362;false;true;true;10,59;0;6,85
58;0,19;11,05;360;false;true;true;10,42;0;6,23
