lengthMiddleSegment: 368633.08
step_energy: 0.05
electrostatic_force_factor: 1.0
spring_force_factor: 0.1
reject_force_factor: 2.0
distanceRejectRadius: 92158.27
distanceSamePosition: 92158.27
Iteration;time;energy;num nodes;reject force is enabled;spring force is enabled;electrostatic force is enabled;str_force;rep_force;elec_force
1;0;200,61;2803;false;true;true;88,3;0;115,99
2;0,04;224,68;2622;false;true;true;98,71;0;133,93
3;0,1;204,25;2454;false;true;true;90,62;0;121,69
4;0,11;186,72;2299;false;true;true;83,14;0;113,94
5;0,15;170,42;2150;false;true;true;75,49;0;103,85
6;0,17;157,82;2027;false;true;true;70,75;0;96,4
7;0,18;142,35;1916;false;true;true;67,29;0;85,87
8;0,19;136,63;1816;false;true;true;62,16;0;84,87
9;0,2;126,7;1722;false;true;true;60,79;0;79,08
10;0,21;118,55;1643;false;true;true;58,96;0;70,87
11;0,22;110,32;1577;false;true;true;55,84;0;66,62
12;0,22;104,32;1522;false;true;true;52,86;0;64,13
13;0,23;98,33;1469;false;true;true;51,9;0;57,86
14;0,24;95,18;1424;false;true;true;49,22;0;55,53
15;0,24;89,95;1387;false;true;true;48,8;0;53,81
16;0,25;86,67;1355;false;true;true;48,57;0;53,13
17;0,26;83,41;1324;false;true;true;47,44;0;51,16
18;0,26;77,63;1289;false;true;true;46,61;0;43,71
19;0,27;74,59;1269;false;true;true;43,98;0;45,15
20;0,27;71,7;1240;false;true;true;44,34;0;42,25
21;0,28;68,04;1214;false;true;true;43,83;0;38,88
22;0,28;64,27;1196;false;true;true;42,37;0;37,43
23;0,28;64,75;1176;false;true;true;42,3;0;36,37
24;0,29;62,26;1157;false;true;true;41,11;0;33,51
25;0,29;60,27;1142;false;true;true;39,65;0;33,16
26;0,3;59,36;1132;false;true;true;38,5;0;34,7
27;0,3;58,84;1114;false;true;true;39,75;0;32,52
28;0,31;56,37;1099;false;true;true;38,68;0;30,31
29;0,31;55,65;1091;false;true;true;36,73;0;32,67
30;0,31;54,02;1080;false;true;true;36,58;0;32,01
31;0,32;53,83;1066;false;true;true;37,62;0;31,28
32;0,32;51,02;1052;false;true;true;35,82;0;27,82
33;0,33;49,48;1043;false;true;true;34,82;0;28,1
34;0,33;48,94;1036;false;true;true;35,8;0;29,81
35;0,34;47,98;1025;false;true;true;36,11;0;28,99
36;0,34;48,26;1012;false;true;true;36,05;0;27,03
37;0,34;46;1002;false;true;true;34,54;0;25,14
38;0,35;45,12;994;false;true;true;32,96;0;25,43
39;0,35;44,58;983;false;true;true;32,49;0;23,57
40;0,35;44,09;977;false;true;true;32,41;0;25,29
41;0,36;42,3;970;false;true;true;32,28;0;25,37
42;0,36;42,83;964;false;true;true;33,55;0;27,4
43;0,37;42;951;false;true;true;33,35;0;23,2
44;0,37;40,85;948;false;true;true;33,22;0;25,7
45;0,37;41,14;940;false;true;true;33,3;0;25,11
46;0,37;40,11;931;false;true;true;31,89;0;22,43
47;0,38;39,15;924;false;true;true;31,04;0;20,99
48;0,38;38,03;920;false;true;true;30,56;0;21,69
49;0,38;37,95;916;false;true;true;30,6;0;22,83
50;0,39;38,07;912;false;true;true;31,49;0;24
51;0,39;37,77;904;false;true;true;32,15;0;22,31
52;0,4;37,91;900;false;true;true;31,97;0;23,57
53;0,4;36,93;892;false;true;true;31,27;0;21,46
54;0,4;36,12;885;false;true;true;30,55;0;19,72
55;0,4;35,15;881;false;true;true;29,57;0;19,76
56;0,41;34,58;879;false;true;true;29,6;0;21,31
57;0,41;35,06;874;false;true;true;29,97;0;21,37
58;0,41;34,8;869;false;true;true;30,68;0;21,24
59;0,42;35,28;866;false;true;true;30,93;0;22,96
60;0,42;34,57;857;false;true;true;29,97;0;19,67
61;0,42;33,05;853;false;true;true;28,96;0;19,26
62;0,43;32,33;850;false;true;true;28,55;0;19,74
63;0,43;32,02;846;false;true;true;28,44;0;19,65
64;0,43;31,34;843;false;true;true;28,67;0;19,74
65;0,44;31,3;841;false;true;true;29,47;0;21,02
66;0,44;32,05;836;false;true;true;30,02;0;20,54
67;0,44;31,88;832;false;true;true;29,61;0;20,61
68;0,44;31,26;826;false;true;true;29,3;0;19,04
69;0,44;31,42;823;false;true;true;29,16;0;19,71
70;0,45;30,61;817;false;true;true;28,37;0;17,98
71;0,45;29,5;814;false;true;true;27,18;0;17,83
72;0,45;29,18;812;false;true;true;27,08;0;18,77
73;0,45;28,85;806;false;true;true;27,06;0;16,85
74;0,45;27,89;804;false;true;true;26,72;0;17,37
75;0,46;27,38;802;false;true;true;26,7;0;17,9
76;0,46;27,44;801;false;true;true;27,4;0;19,72
77;0,46;26,16;794;false;true;true;26,51;0;15,96
78;0,46;25,64;794;false;true;true;26,69;0;17,8
79;0,46;25,63;791;false;true;true;26,94;0;17,46
80;0,47;25,38;789;false;true;true;27,05;0;17,84
81;0,47;25,51;787;false;true;true;27,21;0;18,46
82;0,47;25,33;782;false;true;true;26,24;0;15,93
83;0,47;24,69;780;false;true;true;25,42;0;15,9
84;0,48;23,88;778;false;true;true;25,57;0;16,27
85;0,48;23,97;776;false;true;true;25,96;0;16,53
86;0,48;23,73;774;false;true;true;26,03;0;16,72
87;0,48;23,66;772;false;true;true;26,19;0;17,04
88;0,49;23,91;768;false;true;true;25,99;0;16,31
89;0,49;24,03;764;false;true;true;25,12;0;15,06
90;0,49;23,41;760;false;true;true;23,77;0;13,31
91;0,49;22,38;759;false;true;true;22,88;0;13,51
92;0,5;22,01;759;false;true;true;23,15;0;14,77
93;0,5;21,87;757;false;true;true;23,45;0;14,53
94;0,5;21,76;756;false;true;true;23,96;0;15,25
95;0,5;21,6;752;false;true;true;23,37;0;13,18
96;0,51;20,94;752;false;true;true;23,3;0;14,3
97;0,51;20,83;750;false;true;true;23,51;0;14,03
98;0,51;20,63;750;false;true;true;23,89;0;15,38
99;0,51;20,74;747;false;true;true;23,86;0;14,63
100;0,51;20,55;745;false;true;true;23,64;0;14,45
101;0,52;20,19;741;false;true;true;22,84;0;12,5
102;0,52;19,41;741;false;true;true;22,44;0;13,27
103;0,52;19,07;741;false;true;true;22,63;0;14,2
104;0,53;19,17;740;false;true;true;23,16;0;14,63
105;0,53;19,22;738;false;true;true;23,35;0;14,43
106;0,53;18,89;736;false;true;true;23,05;0;13,84
107;0,53;18,58;736;false;true;true;23,23;0;14,86
108;0,53;18,78;735;false;true;true;23,41;0;15,39
109;0,54;19,09;734;false;true;true;23,82;0;16,09
110;0,54;19,17;730;false;true;true;23,19;0;14,29
111;0,54;19,04;728;false;true;true;22,67;0;13,9
112;0,54;18,61;726;false;true;true;22,11;0;13,31
113;0,55;18,03;725;false;true;true;21,73;0;13,44
114;0,55;17,84;725;false;true;true;22,05;0;14,44
115;0,55;18,1;724;false;true;true;22,55;0;15,1
116;0,55;18,03;721;false;true;true;21,97;0;13,61
117;0,56;17,77;719;false;true;true;21,49;0;12,88
118;0,56;17,32;718;false;true;true;21,23;0;12,86
119;0,56;17,12;718;false;true;true;21,5;0;13,73
120;0,56;17,1;716;false;true;true;21,24;0;12,8
121;0,56;16,78;716;false;true;true;21,63;0;13,57
122;0,57;16,91;716;false;true;true;22,23;0;14,67
123;0,57;17,28;713;false;true;true;22,36;0;13,54
124;0,57;16,92;711;false;true;true;21,84;0;12,88
125;0,57;16,48;710;false;true;true;21,25;0;12,83
126;0,57;16,07;709;false;true;true;20,69;0;12,68
127;0,58;15,61;708;false;true;true;20,41;0;12,4
128;0,58;15,3;708;false;true;true;20,67;0;12,99
129;0,58;15,01;707;false;true;true;20,7;0;12,75
130;0,58;14,81;707;false;true;true;21,09;0;13,32
131;0,59;14,63;706;false;true;true;21,1;0;13,09
132;0,59;14,43;706;false;true;true;21,39;0;13,62
133;0,59;14,38;706;false;true;true;21,82;0;14,26
134;0,6;14,53;706;false;true;true;22,41;0;15,09
135;0,6;15,17;705;false;true;true;22,5;0;15,49
136;0,6;15,91;702;false;true;true;22,04;0;14,46
137;0,61;16,1;700;false;true;true;21,71;0;13,49
138;0,61;16,05;699;false;true;true;21,29;0;13,72
139;0,61;16,17;697;false;true;true;21,08;0;13,55
140;0,61;16,21;694;false;true;true;20,74;0;13,29
141;0,62;15,98;693;false;true;true;20,09;0;13,57
142;0,62;14,79;692;false;true;true;20,37;0;13,26
143;0,62;14,87;692;false;true;true;20,89;0;14,14
144;0,62;15,01;690;false;true;true;20,81;0;13,4
145;0,63;15,12;690;false;true;true;21,05;0;14,45
146;0,63;14,91;687;false;true;true;20,4;0;13,04
147;0,63;14,85;687;false;true;true;20,4;0;13,88
148;0,63;14,84;685;false;true;true;19,87;0;13,04
149;0,64;15;684;false;true;true;20,07;0;13,02
150;0,64;14,67;683;false;true;true;19,93;0;12,8
151;0,64;14,57;683;false;true;true;20,23;0;13,56
152;0,65;14,82;681;false;true;true;20,16;0;12,65
153;0,65;14,81;681;false;true;true;20,29;0;13,63
154;0,65;14,48;679;false;true;true;20,42;0;13,37
155;0,66;14,44;678;false;true;true;20,36;0;13,36
156;0,66;14,44;677;false;true;true;20,11;0;13,41
157;0,66;14,44;677;false;true;true;20,5;0;14,34
158;0,66;14,88;674;false;true;true;20,26;0;13,18
159;0,67;14,6;673;false;true;true;19,95;0;13,2
160;0,67;14,7;672;false;true;true;19,8;0;13,19
161;0,67;14,74;671;false;true;true;19,81;0;13,39
162;0,67;14,8;670;false;true;true;20,21;0;13,91
163;0,68;14,94;668;false;true;true;19,97;0;13,72
164;0,68;14,86;665;false;true;true;19,06;0;12,27
165;0,68;14,43;664;false;true;true;18,58;0;12,14
166;0,68;14,4;663;false;true;true;18,5;0;12,24
167;0,69;14,05;661;false;true;true;18,35;0;11,53
168;0,69;13,51;661;false;true;true;18,24;0;12,12
169;0,69;13,37;660;false;true;true;17,88;0;11,84
170;0,69;13,23;660;false;true;true;18,34;0;12,5
171;0,7;13,38;659;false;true;true;18,87;0;12,72
172;0,7;13,2;657;false;true;true;18,92;0;11,82
173;0,7;12,84;657;false;true;true;18,79;0;12,37
174;0,7;12,73;656;false;true;true;18,6;0;12,16
175;0,71;12,47;655;false;true;true;18,42;0;11,9
176;0,71;12,18;655;false;true;true;18,57;0;12,38
177;0,71;12,08;654;false;true;true;18,91;0;12,28
178;0,71;11,76;654;false;true;true;19,03;0;12,71
179;0,71;11,62;654;false;true;true;19,25;0;13,2
180;0,72;11,66;654;false;true;true;19,68;0;13,84
181;0,72;11,8;653;false;true;true;19,92;0;13,88
182;0,72;12,19;652;false;true;true;20,1;0;14,04
183;0,72;12,07;651;false;true;true;20,06;0;14,08
184;0,73;11,96;650;false;true;true;19,73;0;14,05
185;0,73;12,02;648;false;true;true;18,99;0;13,11
186;0,73;11,93;648;false;true;true;19,24;0;13,84
187;0,74;12,03;646;false;true;true;18,82;0;12,93
188;0,74;12,1;645;false;true;true;18,71;0;12,82
189;0,74;12,12;644;false;true;true;18,55;0;12,73
190;0,74;11,93;643;false;true;true;18,32;0;12,56
191;0,75;11,62;641;false;true;true;17,59;0;11,22
192;0,75;11,11;641;false;true;true;17,5;0;11,37
193;0,75;10,72;641;false;true;true;17,6;0;11,66
194;0,75;10,51;641;false;true;true;17,91;0;11,97
195;0,75;10,39;641;false;true;true;18,24;0;12,33
