lengthMiddleSegment: 60080.82
step_energy: 0.05
electrostatic_force_factor: 1.0
spring_force_factor: 0.1
reject_force_factor: 2.0
distanceRejectRadius: 15020.205
distanceSamePosition: 15020.205
Iteration;time;energy;num nodes;reject force is enabled;spring force is enabled;electrostatic force is enabled;str_force;rep_force;elec_force
1;0;47,06;1283;false;true;true;17,96;0;29,21
2;0,02;53,6;1231;false;true;true;20,81;0;34,77
3;0,02;50,87;1188;false;true;true;20,81;0;31,96
4;0,04;48,06;1146;false;true;true;20,89;0;30,54
5;0,05;46,31;1111;false;true;true;20,31;0;29,5
6;0,09;46,23;1073;false;true;true;19,38;0;29,54
7;0,09;44,92;1042;false;true;true;19,15;0;28,69
8;0,1;40,95;1019;false;true;true;18,8;0;25,38
9;0,11;39,26;998;false;true;true;19,17;0;23,91
10;0,11;38,22;978;false;true;true;18,98;0;23,63
11;0,12;39,71;957;false;true;true;19,49;0;24,73
12;0,12;38,97;938;false;true;true;19,83;0;24,29
13;0,12;38,43;916;false;true;true;19,53;0;23,65
14;0,13;38,42;896;false;true;true;18,85;0;23,7
15;0,13;38,57;879;false;true;true;19,36;0;24,32
16;0,14;35,7;862;false;true;true;20,02;0;21,99
17;0,14;35,47;849;false;true;true;19,21;0;22,23
18;0,15;34,39;834;false;true;true;20,13;0;21,74
19;0,15;34,01;822;false;true;true;20,13;0;22,26
20;0,16;34,34;809;false;true;true;20,57;0;21,83
21;0,17;32,38;791;false;true;true;19,62;0;17,16
22;0,17;32,48;783;false;true;true;18,24;0;18,85
23;0,18;31,9;772;false;true;true;18,52;0;18,45
24;0,18;31,26;761;false;true;true;18,21;0;18,37
25;0,19;29,7;751;false;true;true;17,74;0;16,63
26;0,19;29,89;743;false;true;true;18,1;0;17,23
27;0,19;29,9;735;false;true;true;18,4;0;17,67
28;0,2;28,33;725;false;true;true;18,38;0;16,23
29;0,2;28,29;720;false;true;true;18,07;0;17,35
30;0,2;28,64;710;false;true;true;18,55;0;16,39
31;0,21;28,2;704;false;true;true;18,99;0;17,46
32;0,21;29,15;697;false;true;true;18,59;0;18,36
33;0,21;28,16;687;false;true;true;17,96;0;16,06
34;0,22;26,98;678;false;true;true;17,41;0;14,69
35;0,22;25,91;673;false;true;true;17,02;0;15,63
36;0,22;24,38;666;false;true;true;17,15;0;14,19
37;0,22;24,42;663;false;true;true;17,66;0;15,92
38;0,23;24;656;false;true;true;17,64;0;14,76
39;0,23;24,33;654;false;true;true;18,2;0;16,97
40;0,23;23,92;646;false;true;true;18,69;0;14,8
41;0,24;23,33;639;false;true;true;17,48;0;12,55
42;0,24;23,19;636;false;true;true;16,92;0;13,45
