lengthMiddleSegment: 85727.35
step_energy: 0.05
electrostatic_force_factor: 1.0
spring_force_factor: 0.1
reject_force_factor: 2.0
distanceRejectRadius: 21431.8375
distanceSamePosition: 21431.8375
Iteration;time;energy;num nodes;reject force is enabled;spring force is enabled;electrostatic force is enabled;str_force;rep_force;elec_force
1;0;46,94;1470;false;true;true;16,86;0;30,34
2;0,02;54,87;1424;false;true;true;18,83;0;37,74
3;0,07;53,59;1374;false;true;true;18,63;0;36,54
4;0,08;53,64;1316;false;true;true;17,82;0;36,96
5;0,09;50,11;1260;false;true;true;17,8;0;33,68
6;0,1;51,78;1208;false;true;true;17,27;0;36,74
7;0,11;51,2;1154;false;true;true;17,55;0;35,95
8;0,12;49,73;1100;false;true;true;17,94;0;34,26
9;0,12;48,35;1039;false;true;true;17,96;0;32,9
10;0,12;45,37;1002;false;true;true;16,63;0;30,69
11;0,13;43,88;959;false;true;true;18,01;0;28,74
12;0,14;44,18;925;false;true;true;17,43;0;30,04
13;0,14;41,22;886;false;true;true;16,8;0;27,7
14;0,15;38,86;853;false;true;true;15,61;0;25,64
15;0,16;36,81;821;false;true;true;15,94;0;23,11
16;0,16;35,08;799;false;true;true;15,28;0;22,8
17;0,17;33,86;777;false;true;true;14,91;0;22,04
18;0,17;32,55;758;false;true;true;14,6;0;20,95
19;0,18;31,52;740;false;true;true;14,77;0;21,05
20;0,18;31,79;722;false;true;true;15,08;0;21,58
21;0,18;27,99;701;false;true;true;14,95;0;17,29
22;0,19;26,32;687;false;true;true;14,49;0;15,04
23;0,19;24,58;678;false;true;true;13,75;0;13,67
24;0,19;25,55;671;false;true;true;13,36;0;15,37
25;0,2;24,04;659;false;true;true;14,1;0;12,76
26;0,2;23,95;652;false;true;true;13,21;0;13,79
27;0,2;24,05;646;false;true;true;12,85;0;15,02
28;0,21;24,3;638;false;true;true;13,85;0;15,33
29;0,21;23,76;628;false;true;true;14,24;0;13,94
30;0,21;23,73;623;false;true;true;13,63;0;15,16
31;0,22;22,79;613;false;true;true;13,61;0;12,93
32;0,22;22,99;607;false;true;true;12,99;0;13,37
33;0,22;22,38;599;false;true;true;13,51;0;12,74
34;0,22;22,61;594;false;true;true;13,08;0;13,44
35;0,23;22,32;587;false;true;true;12,72;0;12,85
36;0,23;22,48;583;false;true;true;12,75;0;13,96
37;0,23;21,43;574;false;true;true;13,15;0;11,9
38;0,24;20,88;570;false;true;true;12,4;0;12,27
39;0,24;19,79;564;false;true;true;12,18;0;11,48
40;0,24;20,46;560;false;true;true;12,13;0;12,24
41;0,25;19,69;554;false;true;true;12,51;0;11,61
42;0,25;19,68;549;false;true;true;12,3;0;11,6
43;0,25;19,68;543;false;true;true;12,42;0;11,16
44;0,25;19,8;540;false;true;true;12,53;0;12,38
45;0,26;17,95;533;false;true;true;12,95;0;10,33
46;0,26;18,07;531;false;true;true;12,82;0;11,61
47;0,26;17,49;525;false;true;true;12,77;0;10,17
48;0,26;17,81;522;false;true;true;12,81;0;10,75
49;0,27;18,23;520;false;true;true;13,17;0;12,23
50;0,27;17,97;515;false;true;true;13,13;0;11,1
51;0,27;17,72;511;false;true;true;13,12;0;10,73
52;0,27;17,98;505;false;true;true;12,12;0;8,75
53;0,27;16,91;502;false;true;true;11,48;0;8,37
54;0,28;16,33;500;false;true;true;11,09;0;8,61
55;0,28;16,32;497;false;true;true;11,17;0;8,66
56;0,28;16,47;496;false;true;true;11,37;0;9,82
57;0,28;16,48;493;false;true;true;12,31;0;10,2
58;0,28;16,62;490;false;true;true;12,15;0;10
59;0,29;17,02;487;false;true;true;12,3;0;10,44
60;0,29;16,25;482;false;true;true;11,88;0;8,65
61;0,29;15,67;478;false;true;true;11,34;0;7,54
62;0,29;15,28;477;false;true;true;10,71;0;8,28
63;0,29;15,47;476;false;true;true;11,05;0;9,52
64;0,3;14,72;473;false;true;true;11,41;0;8,69
65;0,3;15,16;472;false;true;true;12,16;0;9,96
66;0,3;15,3;468;false;true;true;12,23;0;8,93
67;0,3;14,82;465;false;true;true;11,77;0;8,21
68;0,31;14,59;462;false;true;true;11,23;0;7,71
69;0,31;14,99;462;false;true;true;11,17;0;9,41
70;0,31;14,63;458;false;true;true;10,98;0;7,93
71;0,31;14,03;456;false;true;true;10,72;0;7,65
72;0,31;14,37;456;false;true;true;10,95;0;9,17
73;0,31;14,39;453;false;true;true;11,26;0;8,72
74;0,32;14,86;450;false;true;true;11,36;0;8,67
75;0,32;13,7;446;false;true;true;10,67;0;6,72
76;0,32;13,45;445;false;true;true;10,22;0;7,11
77;0,32;13,23;444;false;true;true;10,01;0;7,44
78;0,33;13,49;444;false;true;true;10,55;0;8,69
79;0,33;13,85;442;false;true;true;11,48;0;9,06
80;0,33;13,64;438;false;true;true;11,67;0;7,77
81;0,33;13,15;436;false;true;true;11,27;0;7,38
82;0,34;13,22;436;false;true;true;11,17;0;8,53
83;0,34;13,16;434;false;true;true;10,92;0;8,16
84;0,34;13,44;433;false;true;true;11,31;0;8,75
85;0,34;13,41;431;false;true;true;11,53;0;8,59
86;0,34;13,71;429;false;true;true;11,55;0;8,78
87;0,35;13,16;425;false;true;true;11,19;0;7,09
88;0,35;12,88;424;false;true;true;10,86;0;7,41
89;0,35;12,67;423;false;true;true;10,66;0;7,73
90;0,35;12,44;421;false;true;true;10,69;0;7,44
91;0,35;12,42;421;false;true;true;10,94;0;8,44
92;0,36;12,37;420;false;true;true;11,14;0;8,61
93;0,36;13,02;420;false;true;true;11,8;0;10,15
94;0,36;12,71;416;false;true;true;11,94;0;8,42
95;0,36;12,79;415;false;true;true;12;0;8,99
96;0,37;12,65;413;false;true;true;11,92;0;8,82
97;0,37;12,69;411;false;true;true;11,7;0;8,83
