lengthMiddleSegment: 85670.83
step_energy: 0.05
electrostatic_force_factor: 1.0
spring_force_factor: 0.1
reject_force_factor: 2.0
distanceRejectRadius: 21417.7075
distanceSamePosition: 21417.7075
Iteration;time;energy;num nodes;reject force is enabled;spring force is enabled;electrostatic force is enabled;str_force;rep_force;elec_force
1;0;93,51;2364;false;true;true;35,86;0;58,2
2;0,05;108,65;2260;false;true;true;39,65;0;72,07
3;0,12;106,13;2151;false;true;true;39,98;0;70,81
4;0,13;99,63;2051;false;true;true;38;0;66,57
5;0,15;92,5;1970;false;true;true;36,4;0;62,64
6;0,17;90,37;1893;false;true;true;35,7;0;62,44
7;0,18;82,74;1813;false;true;true;34,07;0;53,57
8;0,19;81,66;1748;false;true;true;33,31;0;53,78
9;0,2;77,37;1688;false;true;true;33,56;0;51,36
10;0,23;74,9;1637;false;true;true;32,86;0;50,14
11;0,24;69,9;1585;false;true;true;32,76;0;42,93
12;0,25;69,73;1545;false;true;true;30,33;0;46,35
13;0,25;67,57;1501;false;true;true;30,52;0;44,86
14;0,26;63,4;1467;false;true;true;30,24;0;41,43
15;0,26;64,29;1438;false;true;true;31,39;0;44,6
16;0,27;62,32;1396;false;true;true;31,5;0;39,81
17;0,28;59,22;1364;false;true;true;30,56;0;36,4
18;0,28;57,92;1341;false;true;true;29,17;0;37,43
19;0,29;56,9;1315;false;true;true;29,52;0;37,1
20;0,29;55,01;1286;false;true;true;30,23;0;34,44
21;0,3;53,55;1262;false;true;true;30,22;0;32,22
22;0,3;52,83;1244;false;true;true;29,45;0;32,13
23;0,31;51,79;1222;false;true;true;28,86;0;31,48
24;0,31;50,71;1205;false;true;true;28,83;0;31,66
25;0,32;49,26;1188;false;true;true;28,85;0;31,16
26;0,32;50,47;1175;false;true;true;28,49;0;33,73
27;0,32;49,97;1153;false;true;true;29,85;0;30,69
28;0,33;47,21;1136;false;true;true;28,37;0;27,72
29;0,33;47,11;1125;false;true;true;27,35;0;29,92
30;0,34;48,37;1115;false;true;true;27,45;0;33,01
31;0,34;46,76;1095;false;true;true;29,49;0;29,85
32;0,35;46,14;1081;false;true;true;28,64;0;29,44
33;0,35;47,12;1069;false;true;true;27,65;0;30,1
34;0,36;45,29;1051;false;true;true;28;0;26,88
35;0,36;43,79;1038;false;true;true;26,33;0;25,72
36;0,36;41,6;1027;false;true;true;25,58;0;24,93
37;0,37;43,14;1019;false;true;true;26,11;0;28,72
38;0,37;41,84;1003;false;true;true;27,4;0;26,23
39;0,38;41,61;991;false;true;true;26,99;0;25,43
40;0,38;40,88;980;false;true;true;26,82;0;24,83
41;0,38;41,65;972;false;true;true;26,99;0;26,64
42;0,39;38,94;957;false;true;true;26,31;0;22,48
43;0,39;40,21;952;false;true;true;25,96;0;26,41
44;0,4;38,25;940;false;true;true;25,52;0;23,22
45;0,4;37;932;false;true;true;25,92;0;22,99
46;0,4;35,35;922;false;true;true;25,33;0;20,59
47;0,41;35,68;918;false;true;true;25,19;0;22,56
48;0,41;35,25;910;false;true;true;26,05;0;22,03
49;0,41;35,24;905;false;true;true;26,31;0;23,14
